"Unit","Spp","SIPred","MeanPlotSiteIndex"
"BAFAun/00","At",16.1965990948343,NA
"BAFAun/00","Ba",9.86657057115624,NA
"BAFAun/00","Bl",10.9916763623593,NA
"BAFAun/00","Cw",14.2667301926337,NA
"BAFAun/00","Fd",15.5427064695365,NA
"BAFAun/00","Hm",11.2336654649409,NA
"BAFAun/00","Hw",13.8699011321976,NA
"BAFAun/00","Lw",21.6478886992303,NA
"BAFAun/00","Pl",11.1821360417658,NA
"BAFAun/00","Pw",23.0559811571195,NA
"BAFAun/00","Py",18.6150105207549,NA
"BAFAun/00","Sb",8.66326184891761,NA
"BAFAun/00","Ss",22.6297114254572,NA
"BAFAun/00","Sx",10.0795604259902,NA
"BAFAun/00","Yc",15.9512147516676,NA
"BAFAunp/00","At",16.4714354646617,NA
"BAFAunp/00","Ba",10.6162294728098,NA
"BAFAunp/00","Bl",11.8898615327123,NA
"BAFAunp/00","Cw",15.4040701893484,NA
"BAFAunp/00","Fd",19.3523204991901,NA
"BAFAunp/00","Hm",10.5124698691318,NA
"BAFAunp/00","Hw",16.4620237075435,NA
"BAFAunp/00","Lw",21.183931336731,NA
"BAFAunp/00","Pl",11.958768075116,NA
"BAFAunp/00","Pw",22.8479875030749,NA
"BAFAunp/00","Py",17.8537742041215,NA
"BAFAunp/00","Sb",9.17983550043101,NA
"BAFAunp/00","Ss",23.3051073880975,NA
"BAFAunp/00","Sx",10.858039941836,NA
"BAFAunp/00","Yc",17.7197900633673,NA
"BGxh1/04","At",16.4093331787583,NA
"BGxh1/04","Ba",20.1288697223338,NA
"BGxh1/04","Bl",15.4277142543316,NA
"BGxh1/04","Cw",12.4090706081227,NA
"BGxh1/04","Fd",9.52087233011708,9
"BGxh1/04","Hm",14.141501177454,NA
"BGxh1/04","Hw",16.5326534610392,NA
"BGxh1/04","Lw",20.0075361647641,NA
"BGxh1/04","Pl",15.1625606781453,NA
"BGxh1/04","Pw",20.9351539783146,NA
"BGxh1/04","Py",12.469080170547,12
"BGxh1/04","Sb",10.2052368705579,NA
"BGxh1/04","Ss",23.7689002985943,NA
"BGxh1/04","Sx",13.9166192818921,NA
"BGxh1/04","Yc",14.807157089515,NA
"BGxh1/05","At",17.7704550369381,NA
"BGxh1/05","Ba",19.8256391212444,NA
"BGxh1/05","Bl",17.1580914061159,NA
"BGxh1/05","Cw",16.9709100130405,NA
"BGxh1/05","Fd",15.2467952206919,15
"BGxh1/05","Hm",14.6047031466883,NA
"BGxh1/05","Hw",18.9670856752119,NA
"BGxh1/05","Lw",20.4608046839563,NA
"BGxh1/05","Pl",18.8879817008183,NA
"BGxh1/05","Pw",21.2819654023503,NA
"BGxh1/05","Py",14.9120967276315,15
"BGxh1/05","Sb",10.0820266283468,NA
"BGxh1/05","Ss",24.6409352981485,NA
"BGxh1/05","Sx",15.9054814394806,NA
"BGxh1/05","Yc",16.8160090789901,NA
"BGxh1/06","At",20.1712564834444,NA
