"MergedBGC","Source","SS_NoSpace","SSprob","SSCurrent","FuturePeriod","SiteNo"
"CWHms1","BECv10","CWHms1/01",0.516129032258065,"MHmm1/01","2025","1"
"CWHms1","BECv10","CWHms1/03",0.129032258064516,"MHmm1/01","2025","1"
"CWHms2","BECv10","CWHms2/01",0.0258064516129032,"MHmm1/01","2025","1"
"CWHms2","BECv10","CWHms2/03",0.00645161290322581,"MHmm1/01","2025","1"
"CWHvm2","BECv10","CWHvm2/01",0.232258064516129,"MHmm1/01","2025","1"
"CWHvm2","BECv10","CWHvm2/03",0.0580645161290323,"MHmm1/01","2025","1"
"ICHdw1","BECv10","ICHdw1/101",0.00978615440376948,"MHmm1/01","2025","1"
"ICHdw1","BECv10","ICHdw1/102",0.0054367524465386,"MHmm1/01","2025","1"
"ICHdw1","BECv10","ICHdw1/103",0.00724900326205147,"MHmm1/01","2025","1"
"ICHdw1","BECv10","ICHdw1/104",0.00978615440376948,"MHmm1/01","2025","1"
"CWHms1","BECv10","CWHms1/02",0.43010752688172,"MHmm1/02","2025","1"
"CWHms1","BECv10","CWHms1/03",0.21505376344086,"MHmm1/02","2025","1"
"CWHms2","BECv10","CWHms2/02",0.021505376344086,"MHmm1/02","2025","1"
"CWHms2","BECv10","CWHms2/03",0.010752688172043,"MHmm1/02","2025","1"
"CWHvm2","BECv10","CWHvm2/02",0.193548387096774,"MHmm1/02","2025","1"
"CWHvm2","BECv10","CWHvm2/03",0.0967741935483871,"MHmm1/02","2025","1"
"ICHdw1","BECv10","ICHdw1/102",0.032258064516129,"MHmm1/02","2025","1"
"CWHms1","BECv10","CWHms1/04",0.645161290322581,"MHmm1/03","2025","1"
"CWHms2","BECv10","CWHms2/04",0.032258064516129,"MHmm1/03","2025","1"
"CWHvm2","BECv10","CWHvm2/04",0.0580645161290323,"MHmm1/03","2025","1"
"CWHvm2","BECv10","CWHvm2/05",0.232258064516129,"MHmm1/03","2025","1"
"ICHdw1","BECv10","ICHdw1/101",0.0133481646273637,"MHmm1/03","2025","1"
"ICHdw1","BECv10","ICHdw1/103",0.00556173526140156,"MHmm1/03","2025","1"
"ICHdw1","BECv10","ICHdw1/104",0.0133481646273637,"MHmm1/03","2025","1"
"CWHms1","BECv10","CWHms1/05",0.645161290322581,"MHmm1/04","2025","1"
"CWHms2","BECv10","CWHms2/05",0.032258064516129,"MHmm1/04","2025","1"
"CWHvm2","BECv10","CWHvm2/06",0.267990074441687,"MHmm1/04","2025","1"
"CWHvm2","BECv10","CWHvm2/09",0.0223325062034739,"MHmm1/04","2025","1"
"ICHdw1","BECv10","ICHdw1/110",0.032258064516129,"MHmm1/04","2025","1"
"CWHms1","BECv10","CWHms1/06",0.645161290322581,"MHmm1/05","2025","1"
"CWHms2","BECv10","CWHms2/06",0.032258064516129,"MHmm1/05","2025","1"
"CWHvm2","BECv10","CWHvm2/07",0.145161290322581,"MHmm1/05","2025","1"
"CWHvm2","BECv10","CWHvm2/08",0.145161290322581,"MHmm1/05","2025","1"
"ICHdw1","BECv10","ICHdw1/110",0.0193548387096774,"MHmm1/05","2025","1"
"ICHdw1","BECv10","ICHdw1/111",0.0129032258064516,"MHmm1/05","2025","1"
"CWHms1","BECv10","CWHms1/05",0.645161290322581,"MHmm1/06","2025","1"
"CWHms2","BECv10","CWHms2/05",0.032258064516129,"MHmm1/06","2025","1"
"CWHvm2","BECv10","CWHvm2/09",0.290322580645161,"MHmm1/06","2025","1"
"ICHdw1","BECv10","ICHdw1/111",0.0184331797235023,"MHmm1/06","2025","1"
"ICHdw1","BECv10","ICHdw1/112",0.0138248847926267,"MHmm1/06","2025","1"
"CWHms1","BECv10","CWHms1/06",0.645161290322581,"MHmm1/07","2025","1"
"CWHms2","BECv10","CWHms2/06",0.032258064516129,"MHmm1/07","2025","1"
"CWHvm2","BECv10","CWHvm2/07",0.145161290322581,"MHmm1/07","2025","1"
"CWHvm2","BECv10","CWHvm2/08",0.145161290322581,"MHmm1/07","2025","1"
"ICHdw1","BECv10","ICHdw1/111",0.0067911714770798,"MHmm1/07","2025","1"
"ICHdw1","BECv10","ICHdw1/112",0.00509337860780985,"MHmm1/07","2025","1"
"ICHdw1","BECv10","ICHdw1/113",0.0203735144312394,"MHmm1/07","2025","1"
"CWHms1","BECv10","CWHms1/10",0.666666666666667,"MHmm1/08","2025","1"
"CWHms2","BECv10","CWHms2/10",0.0333333333333333,"MHmm1/08","2025","1"
"CWHvm2","BECv10","CWHvm2/10",0.3,"MHmm1/08","2025","1"
"CWHms1","BECv10","CWHms1/11",0.645161290322581,"MHmm1/09","2025","1"
"CWHms2","BECv10","CWHms2/11",0.032258064516129,"MHmm1/09","2025","1"
"CWHvm2","BECv10","CWHvm2/11",0.290322580645161,"MHmm1/09","2025","1"
"ICHdw1","BECv10","ICHdw1/112",0.0161290322580645,"MHmm1/09","2025","1"
"ICHdw1","BECv10","ICHdw1/113",0.0161290322580645,"MHmm1/09","2025","1"
"CWHdm","BECv10","CWHdm/01",0.0516129032258065,"MHmm1/01","2055","1"
