"Unit","SImin","SImean","SImax","MeanPlotSiteIndex","Spp"
"BGdwz/Gg",11.996950139812,19.6531359652015,31.761815288565,NA,"Pl"
"CDFdmz/101",20.0501759732488,20.4177849935205,21.0867977342669,NA,"Pl"
"CDFdmz/102",10.3061727026328,15.7845589904279,21.0867977342669,NA,"Pl"
"CDFdmz/110",23.6344021710862,24.9602744885955,26.9231236715928,NA,"Pl"
"CDFdmz/111",24.3223335738329,26.0822398168602,27.2854975554816,NA,"Pl"
"CDFmm/01",13.9264371367746,15.6676692493757,17.1980414007308,20,"Pl"
"CDFmm/02",13.9264371367746,14.0536302053995,14.1404957299536,16,"Pl"
"CDFmm/03",14.8226348105327,16.6057937665851,18.3889527226374,16,"Pl"
"CDFmm/04",14.8226348105327,17.6586859342169,18.9251888869935,NA,"Pl"
"CDFmm/05",15.6242359711891,17.0102767374639,18.3313831944034,NA,"Pl"
"CDFmm/06",18.3190526254361,18.8503268571515,19.1799139435643,NA,"Pl"
"CDFmm/07",18.3190526254361,18.8503268571515,19.1799139435643,NA,"Pl"
"CDFmm/08",18.3190526254361,18.8503268571515,19.1799139435643,NA,"Pl"
"CDFmm/09",18.3190526254361,18.8503268571515,19.1799139435643,NA,"Pl"
"CDFmm/10",12.3838677421977,13.0038657078338,13.62386367347,16,"Pl"
"CDFmm/11",15.2764123431982,15.8477174944578,16.2024134904632,NA,"Pl"
"CDFmm/12",18.3190526254361,18.7466419306498,19.1742312358634,NA,"Pl"
"CDFmm/13",18.728109623742,18.9540117836532,19.1799139435643,NA,"Pl"
"CDFmm/14",16.0643266497121,16.1333700700876,16.2024134904632,NA,"Pl"
"CMXdmz/101",18.0528830295377,20.6771560766495,23.3598531243472,NA,"Pl"
"CMXdmz/102",11.4171285579521,12.5212033047243,14.6405072000304,NA,"Pl"
"CMXdmz/103",11.4171285579521,12.5212033047243,14.6405072000304,NA,"Pl"
"CMXdmz/110",26.1820770681149,28.2723259429578,30.2267429769579,NA,"Pl"
"CMXwmz/101",21.5503181820265,23.1756242625342,24.925802113438,NA,"Pl"
"CMXwmz/102",17.5155020787614,19.9644840308111,22.6644993649827,NA,"Pl"
"CMXwmz/110",25.4027140464223,27.4307423925063,29.3269822100348,NA,"Pl"
"CWFwmz/101",19.3187228298748,20.7757239478084,22.3446660172019,NA,"Pl"
"CWFwmz/102",9.93019184193845,10.8904748051754,12.7337661498366,NA,"Pl"
"CWFwmz/103",19.0891007221258,19.5269659728744,20.3175274541955,NA,"Pl"
