Unit,SImin,SImean,SImax,MeanPlotSiteIndex,Spp
BGdwz/Gg,11.99695014,19.65313597,31.76181529,NA,Pl
BGdwz/Gg,9.344172174,14.73274745,25.0081723,NA,Sx
BGdwz/Gg,20.82894981,27.4939662,28.84100585,NA,Bl
BGdwz/Gg,25.12479395,34.38176318,35.93641181,NA,Cw
BGdwz/Gg,-135.3683996,-66.69825469,29.76705573,NA,Hw
BGdwz/Gg,14.86643294,18.03808953,26.28308467,NA,Fd
BGdwz/Gg,12.42790413,14.85703179,18.84413703,NA,Py
BGdwz/Gg,-1252.838834,-736.1009932,50.50979031,NA,Ba
BGdwz/Gg,33.86200118,46.51818861,48.35317226,NA,Ss
CDFdmz/101,20.05017597,20.41778499,21.08679773,NA,Pl
CDFdmz/101,15.57046857,15.80005307,16.06095317,NA,Sx
CDFdmz/101,18.76034732,19.49743019,20.26395952,NA,Bl
CDFdmz/101,15.65707698,18.04443019,21.41267558,NA,Cw
CDFdmz/101,-8.877859272,-3.894030299,2.793337058,NA,Hw
CDFdmz/101,15.47066558,16.03354667,16.89957583,NA,Fd
CDFdmz/101,15.41906779,15.7166398,15.95207127,NA,Py
CDFdmz/101,-130.7260654,-110.9363035,-89.08334445,NA,Ba
CDFdmz/101,41.16968098,41.16968098,41.16968098,NA,Ss
CDFdmz/102,10.3061727,15.78455899,21.08679773,NA,Pl
CDFdmz/102,8.626050963,12.59601329,16.06095317,NA,Sx
CDFdmz/102,18.68144968,22.08917824,24.88492142,NA,Bl
CDFdmz/102,15.65707698,23.61917564,29.79031911,NA,Cw
CDFdmz/102,-119.2015791,-53.48740677,2.793337058,NA,Hw
CDFdmz/102,14.15340256,15.26558319,16.89957583,NA,Fd
CDFdmz/102,12.98349265,14.60943978,16.22202725,NA,Py
CDFdmz/102,-1005.618209,-502.6807663,-89.08334445,NA,Ba
CDFdmz/102,41.16968098,41.16968098,41.16968098,NA,Ss
CDFdmz/110,23.63440217,24.96027449,26.92312367,NA,Pl
CDFdmz/110,18.67306674,19.98008065,21.44199366,NA,Sx
CDFdmz/110,18.90557588,20.3252562,22.04693089,NA,Bl
CDFdmz/110,20.82777861,23.07338164,25.50280404,NA,Cw
CDFdmz/110,19.94215242,22.23527516,25.56541672,NA,Hw
CDFdmz/110,21.55967068,22.79842092,23.8795341,NA,Fd
CDFdmz/110,17.89260244,18.46234053,18.7941474,NA,Py
CDFdmz/110,32.11623673,34.51204383,36.52757205,NA,Ba
CDFdmz/110,33.42128055,36.39297542,41.16968098,NA,Ss
CDFdmz/111,24.32233357,26.08223982,27.28549756,NA,Pl
CDFdmz/111,19.54872094,21.50272519,23.08623651,NA,Sx
CDFdmz/111,21.30330054,22.33812951,23.37382944,NA,Bl
CDFdmz/111,26.58414659,28.14045097,29.64996415,NA,Cw
CDFdmz/111,23.68692943,25.00763383,26.21202629,NA,Hw
CDFdmz/111,23.6146282,24.38309524,25.02248382,NA,Fd
CDFdmz/111,19.41510599,19.50168974,19.68656277,NA,Py
