Unit,SImin,SImean,SImax,MeanPlotSiteIndex,Spp
CDFdmz/101,15.29804531,15.92913515,16.82844454,NA,Fd
CWHms1/03,19.87490274,22.17873495,24.52603205,16,Fd
CDFmm/01,18.92695446,24.56985723,28.02975092,29.6608336,Fd
CWHms2/03,19.87490274,22.17873495,24.52603205,16,Fd
CMXdmz/101,13.52634453,15.13425897,17.32450314,NA,Fd
CWHvm2/03,19.63415978,20.35259796,21.02231319,24,Fd
CWHvm2/03,19.63415978,20.35259796,21.02231319,24,Fd
CMXwmz/101,15.61104205,18.00885026,20.81474372,NA,Fd
ICHdw1/102,14.51402625,14.71829115,14.92255605,NA,Fd
ICHdw1/103,14.92255605,15.53815585,16.41539175,NA,Fd
ICHdw1/104,15.27651973,17.67302669,19.89676146,NA,Fd
CWHms1/02,16.56108515,17.00647997,17.43112075,12,Fd
CWHms2/02,16.56108515,17.00647997,17.43112075,12,Fd
CWHvm2/02,17.03563092,17.66809053,18.25819287,8,Fd
CWHms1/04,25.9441009,26.90111125,27.80297606,28,Fd
CWHms2/04,25.9441009,26.90111125,27.80297606,28,Fd
CWHvm2/04,22.23780077,22.38361806,22.52943535,24,Fd
CWHvm2/05,23.59888496,23.69162739,23.83112234,NA,Fd
CWHms1/05,25.26279328,25.57870301,26.29237782,NA,Fd
CWHms2/05,25.26279328,25.57870301,26.29237782,NA,Fd
CWHvm2/06,21.67016465,22.1066678,22.53632385,NA,Fd
CWHvm2/09,21.67016465,21.99585687,22.48795907,NA,Fd
ICHdw1/110,22.97282372,23.56882166,24.16481959,NA,Fd
CWHms1/06,26.58651467,27.09566665,27.65289251,28,Fd
CWHms2/06,26.58651467,27.09566665,27.65289251,28,Fd
CWHvm2/07,22.52422242,23.09747108,23.70247929,NA,Fd
CWHvm2/08,22.52422242,23.09747108,23.70247929,NA,Fd
ICHdw1/111,23.04246723,23.77872641,24.16481959,NA,Fd
ICHdw1/112,22.31897248,23.14035035,24.12889241,NA,Fd
ICHdw1/113,23.03009402,23.61621727,24.23481336,NA,Fd
CWHms1/10,25.66267968,25.94931597,26.23595225,NA,Fd
CWHms2/10,25.66267968,25.94931597,26.23595225,NA,Fd
CWHvm2/10,21.99658258,22.24227083,22.48795907,NA,Fd
CWHms1/11,25.46684134,26.02337158,26.32501391,NA,Fd
CWHms2/11,25.46684134,26.02337158,26.32501391,NA,Fd
CWHvm2/11,21.82872115,22.30574707,22.56429764,NA,Fd
CWFwmz/101,15.14543148,17.47172333,20.193929,NA,Fd
CWHdm/03,29.07729791,32.44784097,35.88197386,24,Fd
CWFwsz/101,15.1192594,15.74297379,16.63177308,NA,Fd
CWHds1/03,21.29282377,24.18380502,27.3872893,16,Fd
CWHdm/01,33.51260167,36.02134064,38.34990567,34.06666676,Fd
CWHdmz/101,20.6991254,21.53024027,22.56241293,NA,Fd
CWHvm1/03,29.45123968,30.52889694,31.53346978,32.20111105,Fd
CWHds1/01,29.45123968,30.52889694,31.53346978,33.79375029,Fd
CWHvmz/102,16.68131382,19.06500028,21.77528587,NA,Fd
CWHdm/02,24.22913022,24.8807499,25.5020061,16,Fd
CWHds1/02,21.29282377,21.86547425,22.41144096,12,Fd
CWHvm1/02,25.55344638,26.50213579,27.3872893,8,Fd
CWHdm/04,33.21485135,35.87111491,38.45440808,28,Fd
CWHdm/05,37.95663107,39.35675239,40.67619491,39.75636361,Fd
CWHds1/04,24.08222485,26.94365529,29.75527966,24,Fd
CWHds1/05,33.35670116,33.57542709,33.79415302,36,Fd
CWHvm1/04,33.35670116,33.57542709,33.79415302,32,Fd
CWHvm1/05,35.39832744,35.53744109,35.74668351,36,Fd
CWHdm/06,36.95986722,37.42204816,38.46616572,36,Fd
CWHds1/06,32.50524698,33.16000171,33.80448577,28,Fd
CWHvm1/06,32.50524698,33.15831656,33.80448577,NA,Fd
CWHvm1/12,32.50524698,32.9937853,33.73193861,NA,Fd
CWHvmz/110,21.65358499,22.50968691,23.20950114,NA,Fd
CWHdm/07,38.89649259,39.64139002,40.45662029,40.96444405,Fd
CWHds1/07,35.39832744,35.47602319,35.55371894,36,Fd
CWHvm1/07,33.78633363,34.64620662,35.55371894,NA,Fd
CWHvm1/08,33.78633363,34.64620662,35.55371894,NA,Fd
CWHvmz/111,21.24978977,21.82930117,22.33521511,NA,Fd
CWHdm/11,37.54490736,37.96426079,38.38361422,NA,Fd
CWHds1/11,32.99487388,33.36340624,33.73193861,NA,Fd
CWHvm1/13,32.99487388,33.36340624,33.73193861,NA,Fd
CWHdm/12,37.25839277,38.07260533,38.51391284,NA,Fd
CWHds1/12,32.74308173,33.45862061,33.84644646,NA,Fd
CWHvm1/14,32.74308173,33.45862061,33.84644646,NA,Fd
CWHds2/01,29.45123968,30.52889694,31.53346978,24,Fd
CWHdmz/102,14.40242786,16.77253043,19.74377521,NA,Fd
CWHdmz/110,22.43631283,23.32336089,24.04847182,NA,Fd
CWHdmz/111,22.01792133,22.61838076,23.14258234,NA,Fd
CWHdsz/101,17.61932618,19.74617751,22.12338558,NA,Fd
CWHds2/03,21.29282377,24.18380502,27.3872893,16,Fd
CWHmhz/101,20.33809774,21.15471657,22.16888639,NA,Fd
CWHmm2/03,19.87490274,22.17873495,24.52603205,24,Fd
CWHmm1/01,32.72359964,35.17327426,37.44701685,28,Fd
CWHds2/02,21.29282377,21.86547425,22.41144096,NA,Fd
CWHmm2/02,16.56108515,17.00647997,17.43112075,16,Fd
MHmm1/02,15.97426244,17.82594548,19.71256301,NA,Fd
CWHds2/04,24.08222485,26.94365529,29.75527966,24,Fd
CWHds2/05,33.35670116,33.57542709,33.79415302,36,Fd
CWHmm2/04,22.70300158,24.51860975,26.28434124,24,Fd
CWHmm2/05,25.9441009,26.90111125,27.80297606,28,Fd
MHmm1/03,20.85232225,21.80673244,22.34637533,NA,Fd
CWHds2/06,32.50524698,33.16000171,33.80448577,28,Fd
CWHmm2/06,25.28185876,25.79111244,26.29237782,NA,Fd
MHmm1/04,20.32005148,20.72935924,21.13224648,NA,Fd
CWHds2/07,35.39832744,35.47602319,35.55371894,36,Fd
CWHmm2/08,26.58651467,27.09566665,27.65289251,28,Fd
MHmm1/05,22.128607,22.17717706,22.22574711,NA,Fd
CWHmm2/07,25.26279328,25.36629358,25.51808737,NA,Fd
MHmm1/06,20.46872946,20.72725236,21.08689497,NA,Fd
MHmm1/07,21.12089901,21.13968822,21.15847743,NA,Fd
CWHds2/11,32.99487388,33.36340624,33.73193861,NA,Fd
CWHmm2/09,25.66267968,25.94931597,26.23595225,NA,Fd
MHmm1/08,20.62613264,20.85651381,21.08689497,NA,Fd
