Unit,SImin,SImean,SImax,MeanPlotSiteIndex,Spp,Diff,Mean,SD
ICHdw1/101,NA,NA,NA,NA,Lw,#VALUE!,-0.840533946,3.792588427
CWHvm1/02,25.55344638,26.50213579,27.3872893,8,Fd,-18.50213579,,
CWHvh1/18,18.52298809,18.76651011,19.01003213,8,Cw,-10.76651011,,
CWHds1/02,21.29282377,21.86547425,22.41144096,12,Fd,-9.865474248,,
CWHvm2/02,17.03563092,17.66809053,18.25819287,8,Fd,-9.668090529,,
CWHws2/11,20.64590665,21.20135631,21.58866278,12,Sx,-9.201356313,,
CWHws2/11,20.64590665,21.20135631,21.58866278,12,Sx,-9.201356313,,
CWHdm/02,24.22913022,24.8807499,25.5020061,16,Fd,-8.880749904,,
CWHdm/03,29.07729791,32.44784097,35.88197386,24,Fd,-8.447840972,,
CWHvh1/03,20.27851044,20.38703551,20.54687168,12,Hw,-8.387035509,,
CWHds1/03,21.29282377,24.18380502,27.3872893,16,Fd,-8.183805021,,
CWHds2/03,21.29282377,24.18380502,27.3872893,16,Fd,-8.183805021,,
CWHws2/11,18.84465568,19.90938229,20.63843394,12,Hw,-7.909382294,,
CWHws2/11,18.84465568,19.90938229,20.63843394,12,Hw,-7.909382294,,
CWHvh1/09,23.88692572,23.88692572,23.88692572,16,Cw,-7.886925719,,
CWHdm/04,33.21485135,35.87111491,38.45440808,28,Fd,-7.87111491,,
CWHvh1/01,22.84365108,23.82734911,24.48398909,16,Hw,-7.827349107,,
CWHvm2/09,17.65240045,19.52894219,22.84365108,12,Hw,-7.528942194,,
CWHvm2/09,17.65240045,19.52894219,22.84365108,12,Hw,-7.528942194,,
IDFww/04,29.18957345,31.52392682,33.79415302,24,Fd,-7.523926824,,
IDFww/04,29.18957345,31.52392682,33.79415302,24,Fd,-7.523926824,,
CWHmm1/01,32.72359964,35.17327426,37.44701685,28,Fd,-7.17327426,,
CDFmm/10,13.03751449,14.84679991,16.65608534,8,Cw,-6.846799913,,
IDFww/02,18.80252887,18.84000084,18.90555411,12,Fd,-6.840000844,,
IDFww/02,18.80252887,18.84000084,18.90555411,12,Fd,-6.840000844,,
CWHvm1/12,20.58056508,22.76838591,26.63293579,16,Hw,-6.768385912,,
CWHvm1/12,20.58056508,22.76838591,26.63293579,16,Hw,-6.768385912,,
CWHvh1/09,26.63697145,26.63697145,26.63697145,20,Hw,-6.636971447,,
IDFww/05,33.35670116,33.57542709,33.79415302,27,Fd,-6.575427089,,
IDFww/05,33.35670116,33.57542709,33.79415302,27,Fd,-6.575427089,,
CWHds2/01,29.45123968,30.52889694,31.53346978,24,Fd,-6.528896945,,
IDFww/04,19.64519798,21.48349096,23.11407631,15,Cw,-6.483490964,,
IDFww/04,19.64519798,21.48349096,23.11407631,15,Cw,-6.483490964,,
CWHvm1/03,23.64229188,23.76881899,23.95516865,17.36437505,Hw,-6.404443935,,
CWHvm1/03,23.64229188,23.76881899,23.95516865,17.36437505,Hw,-6.404443935,,
CWHms1/03,19.87490274,22.17873495,24.52603205,16,Fd,-6.178734954,,
CWHms2/03,19.87490274,22.17873495,24.52603205,16,Fd,-6.178734954,,
CWHvm2/02,13.57540659,13.94124962,14.29615538,8,Cw,-5.941249623,,
CWHvm2/02,13.57540659,13.94124962,14.29615538,8,Cw,-5.941249623,,
CWHvm1/02,13.57540659,13.94124962,14.29615538,8,Cw,-5.941249623,,
CWHvm1/02,13.57540659,13.94124962,14.29615538,8,Cw,-5.941249623,,
CWHvh1/02,13.57540659,13.94124962,14.29615538,8,Cw,-5.941249623,,
CWHvh1/11,11.17501242,17.68778831,21.72468308,12,Cw,-5.687788308,,
CWHvh1/01,21.28065367,21.47411509,21.72468308,16,Cw,-5.47411509,,
