"Unit","SImin","SImean","SImax","MeanPlotSiteIndex","Spp"
"CWHws2/01",15.7686581394111,16.9451813950211,18.3363173719711,20,"Pl"
"CWHws2/01",15.7686581394111,16.9451813950211,18.3363173719711,20,"Pl"
"CWHws2/05",14.9136925371107,16.7484083925351,18.5301748308491,NA,"Pl"
"ICHmc2/01",20.3099326910075,20.8306628524679,21.3714491017065,20.3172727769071,"Pl"
"ICHmw1/01",19.1842447592812,20.935250214496,22.8853997231514,24,"Pl"
"ICHmw1/05",20.1599331881197,21.3435314809432,22.4112296614942,24,"Pl"
"ICHmw5/101",18.0995294088671,18.8555779722146,19.4216873506612,NA,"Pl"
"ICHwc/01",21.213609743496,21.4231059629261,21.6326021823562,21,"Pl"
"ICHwc/03",19.8137593490874,20.3368088672057,21.213609743496,21,"Pl"
"ICHwc/07",16.1061350581346,18.6237357517869,20.6370015581753,NA,"Pl"
"MSdm2/01",16.1097027240725,17.7056928402237,19.4728681542359,19.3126922754141,"Pl"
"MSdm2/04",16.1097027240725,17.2369607708754,18.7963273989301,16.9663999938965,"Pl"
"MSdm2/05",16.4414539794154,18.1427308601895,19.7246121322896,20.8533330281576,"Pl"
"SBSun/00",11.2430882931545,15.2873176638332,17.579721520979,NA,"Pl"
"CWHws2/02",14.2308871659972,14.3136150003723,14.437253070562,12,"Pl"
"CWHws2/02",14.2308871659972,14.3136150003723,14.437253070562,12,"Pl"
"CWHws2/03",15.4504823783518,16.3659049529583,17.67800811958,16,"Pl"
"CWHws2/03",15.4504823783518,16.3659049529583,17.67800811958,16,"Pl"
"ICHmc2/02",17.2041260917501,18.313185303682,19.961183153768,15,"Pl"
"ICHmw1/02",17.1272457174694,19.6217573928325,22.3205923280002,18,"Pl"
"ICHmw5/102",15.3317389520134,16.0263671876897,17.2235591739032,NA,"Pl"
"ICHwc/02",18.5405788540221,19.0526813151388,19.8137593490874,15,"Pl"
"MSdm2/02",14.8380714679336,15.6466287607508,17.6139940378037,NA,"Pl"
"MSdm2/03",14.8380714679336,16.2743929709498,17.6139940378037,15.6319999694824,"Pl"
"ICHmw1/03",19.1842447592812,19.4990020541843,19.8137593490874,21,"Pl"
"ICHmw1/04",19.8137593490874,20.8020707065212,22.3205923280002,21,"Pl"
"ICHmw5/103",17.2235591739032,17.5061473582287,17.7887355425542,NA,"Pl"
"ICHmw5/104",17.7887355425542,18.3112607028456,19.0455171571155,NA,"Pl"
"CWHws2/04",18.0271684852968,18.7431969634513,19.1984282146369,NA,"Pl"
"ICHmc2/03",21.793559043832,22.5301903422069,23.0556779949011,24.1785714285714,"Pl"
"ICHmw1/06",21.6326021823562,22.4918363561415,23.0381138575643,24,"Pl"
"ICHmw5/110",19.4216873506612,19.9220494277653,20.3808564202916,NA,"Pl"
"ICHwc/04",21.6326021823562,22.3637930723236,22.8853997231514,24,"Pl"
"MSdm2/06",18.7963273989301,19.5305289634083,20.01756085885,18,"Pl"
"CWHws2/06",18.3089715489242,18.6672850180634,19.0938608380589,NA,"Pl"
"ICHmc2/04",22.8698665435147,22.8698665435147,22.8698665435147,21,"Pl"
"ICHmw1/07",22.2362097970189,22.6598293817032,23.0381138575643,21,"Pl"
"ICHmw5/111",19.9636045123431,20.1722304663174,20.3808564202916,NA,"Pl"
"ICHmw5/112",19.9636045123431,20.1722304663174,20.3808564202916,NA,"Pl"
"ICHwc/05",22.2362097970189,22.6166011298192,22.9126330056707,NA,"Pl"
"ICHmc2/05",22.40165778658,22.7848794120351,23.0831139060105,24,"Pl"
"ICHmc2/06",23.0556779949011,23.0739686023073,23.0831139060105,21,"Pl"
"ICHmc2/07",18.2531649619391,20.8666065205506,23.0831139060105,15,"Pl"
"ICHmw5/113",20.3808564202916,20.4758758614581,20.5708953026246,NA,"Pl"
"ICHwc/08",18.1183557672424,20.2923886950677,22.0186086355564,NA,"Pl"
"MSdm2/07",13.9944415901569,17.4883556620154,19.908531942467,15,"Pl"
"CWHws2/11",15.0986298060353,15.6736585410295,16.0345378408009,NA,"Pl"
"ICHmc2/08",18.2531649619391,18.948333629066,19.3846109253968,NA,"Pl"
"CWHws2/10",12.2114541463764,12.8166166807443,13.4217792151122,12,"Pl"
"CWHws2/10",12.2114541463764,12.8166166807443,13.4217792151122,12,"Pl"
"CWHds2/01",18.5405788540221,19.63908594355,21.213609743496,NA,"Pl"
"CWHds2/06",18.9412632615065,20.5873079936573,22.2362097970189,NA,"Pl"
"CWHws1/01",20.1599331881197,20.6867714658079,21.213609743496,20,"Pl"
"CWHws1/05",19.5378478365852,20.9377115300534,22.2362097970189,NA,"Pl"
"ICHdw1/101",20.2131561302497,21.0339683960537,22.0686623730336,NA,"Pl"
"ICHmk2/01",18.5405788540221,20.2086297229143,22.4112296614942,21,"Pl"
"ICHmk2/04",19.8137593490874,21.1715595431257,22.8853997231514,21,"Pl"
"ICHmk2/05",20.1599331881197,21.872625617834,23.0381138575643,24,"Pl"
"ICHmw2/101",22.6799248366347,23.6868060536629,24.3366774551507,NA,"Pl"
"CWHds2/02",17.0770645991966,17.1763380004468,17.3247036846745,12,"Pl"
"CWHds2/03",17.0770645991966,17.1763380004468,17.3247036846745,16,"Pl"
"CWHws1/02",17.0770645991966,17.1763380004468,17.3247036846745,20.7449998855591,"Pl"
"CWHws1/03",18.5405788540221,19.1795276541302,19.8137593490874,20.7099999019078,"Pl"
"ICHdw1/102",17.4212963278885,17.5476117688536,17.6739272098188,NA,"Pl"
"ICHmk2/02",17.0770645991966,17.597856451998,19.1842447592812,18,"Pl"
"ICHmk2/03",17.0770645991966,18.49538812748,19.8137593490874,21,"Pl"
"ICHmw2/102",19.2116976740962,19.7070729905707,20.8581512107749,NA,"Pl"
"ICHmw2/103",19.2681514321531,21.0469686846892,22.2904792677233,NA,"Pl"
"ICHdw1/103",17.4212963278885,17.6201102236907,17.9665453687828,NA,"Pl"
"ICHdw1/104",17.4724889744008,19.1807267923882,20.680491417863,NA,"Pl"
"ICHmw2/104",22.2904792677233,22.9452383552637,23.865310961433,NA,"Pl"
"CWHds2/05",20.2718604424761,21.777613668996,22.8853997231514,NA,"Pl"
"CWHws1/04",21.6326021823562,22.3473928795566,22.8853997231514,24,"Pl"
"ICHmw2/110",24.3366774551507,24.9636647123036,25.5385806601139,NA,"Pl"
"CWHds2/07",22.4112296614942,22.7657342778743,23.0381138575643,NA,"Pl"
"CWHws1/06",21.970765858709,22.400742021676,22.9126330056707,NA,"Pl"
"ICHdw1/110",22.4471190568205,22.6550520644174,22.8629850720142,NA,"Pl"
"ICHdw1/111",22.6844372364316,22.9019928568055,23.1585562619706,NA,"Pl"
"ICHmw2/111",25.0157360216462,25.5292643209266,25.7767121313795,NA,"Pl"
"ICHmw2/112",25.0157360216462,25.5292643209266,25.7767121313795,NA,"Pl"
"ICHdw1/112",18.483577371376,20.9440628801212,23.1585562619706,NA,"Pl"
"ICHdw1/113",19.4496806507065,21.4030095338339,23.3744954775615,NA,"Pl"
"ICHmk2/06",16.1061350581346,20.1272638441842,22.9126330056707,21,"Pl"
"ICHmw2/113",20.3831502381477,23.0965019219621,25.5385806601139,NA,"Pl"
"ICHmw2/114",21.4485407679407,23.6026149111288,25.7767121313795,NA,"Pl"
"CWHds2/12",18.1183557672424,18.8083902492355,19.2414454089611,NA,"Pl"
"CWHws1/11",18.1183557672424,18.8083902492355,19.2414454089611,NA,"Pl"
"CWHds2/11",14.6537449756517,15.3799400168931,16.1061350581346,16,"Pl"
"CWHds1/01",12.6149265115289,13.3990961553131,14.142406495664,NA,"Pl"
"CWHds1/06",12.6275088410043,13.7365499148224,14.8241398646792,NA,"Pl"
"ICHmc1/01",18.157739658779,18.8521120569473,19.8182845568478,21.3646663824717,"Pl"
"ICHmw3/01",18.9223897672934,20.9627869208833,22.8853997231514,21,"Pl"
"ICHmw3/01",18.9223897672934,20.9627869208833,22.8853997231514,21,"Pl"
"ICHmw3/04",18.5405788540221,19.7922720400232,21.213609743496,21,"Pl"
"ICHmw3/04",18.5405788540221,19.7922720400232,21.213609743496,21,"Pl"
"ICHmw3/05",19.1842447592812,21.1144622127576,22.8853997231514,21,"Pl"
"ICHmw3/05",19.1842447592812,21.1144622127576,22.8853997231514,21,"Pl"
"ICHmw3/06",20.1599331881197,21.7972937230945,22.9126330056707,24,"Pl"
"ICHmw3/06",20.1599331881197,21.7972937230945,22.9126330056707,24,"Pl"
"ICHmw3/08",20.6370015581753,21.8933360504712,22.9126330056707,NA,"Pl"
"ICHxw/101",20.544669909168,21.1576360017874,21.7094124090501,NA,"Pl"
"IDFdk2/01",16.2230064972694,17.0210344948146,17.7378778871666,18.1468418020951,"Pl"
"IDFdk2/03",14.942431524297,16.3657039985601,17.7378778871666,18,"Pl"
"IDFdk2/04",16.2230064972694,17.9326849045123,20.0247247577575,19.1525000333786,"Pl"
"IDFdk2/05",17.6399415396047,19.2176685283226,20.0485538799619,21,"Pl"
"IDFdk2/06",16.8362647328409,18.6377241610262,20.0485538799619,21,"Pl"
"IDFww/01",17.0770645991966,18.1779328272885,19.8137593490874,24,"Pl"
"IDFww/01",17.0770645991966,18.1779328272885,19.8137593490874,24,"Pl"
"CWHds1/02",11.3847097327977,11.4508920002979,11.5498024564496,12,"Pl"
"CWHds1/03",11.3847097327977,12.118621884859,13.2091728993916,16,"Pl"
"ICHmc1/02",16.6992122847306,17.5964038751025,19.1067698166943,19.6055556403266,"Pl"
"ICHmw3/02",17.0770645991966,17.597856451998,19.1842447592812,18,"Pl"
"ICHmw3/02",17.0770645991966,17.597856451998,19.1842447592812,18,"Pl"
"ICHmw3/03",17.0770645991966,19.9902832127163,22.8853997231514,21,"Pl"
"ICHmw3/03",17.0770645991966,19.9902832127163,22.8853997231514,21,"Pl"
"ICHxw/102",18.2880618763112,18.4206619169067,18.5532619575023,NA,"Pl"
"IDFdk2/02",10.3714083345478,13.7868800740096,15.4100974375511,NA,"Pl"
"IDFdk2/Gg",14.9863400027857,15.1982187201684,15.4100974375511,NA,"Pl"
"IDFww/02",11.8530380966261,12.8287250874575,14.0550946423425,12,"Pl"
"IDFww/02",11.8530380966261,12.8287250874575,14.0550946423425,12,"Pl"
"IDFww/03",17.0770645991966,17.1763380004468,17.3247036846745,18,"Pl"
"IDFww/03",17.0770645991966,17.1763380004468,17.3247036846745,18,"Pl"
"ICHxw/103",18.2880618763112,18.3149316990101,18.341801521709,NA,"Pl"
"ICHxw/104",18.2880618763112,18.3238883065764,18.341801521709,NA,"Pl"
"CWHds1/05",14.4217347882375,14.8393339685026,15.2569331487676,NA,"Pl"
"ICHmc1/03",20.02780985059,20.352433373634,20.7500724209482,21.6164283752441,"Pl"
"ICHxw/110",21.7094124090501,22.531335450547,23.1666493359267,NA,"Pl"
"IDFww/04",17.6115399286299,20.1973848226096,22.3205923280002,NA,"Pl"
"CWHds1/07",15.133973724512,15.2045311974795,15.2750886704471,NA,"Pl"
"ICHmc1/04",19.2204156533945,19.9848843128082,20.6370537606389,20.8157141549247,"Pl"
"ICHxw/111",22.7179446066642,23.5021059688749,24.3107689527652,NA,"Pl"
"IDFww/05",21.6326021823562,22.2590009527538,22.8853997231514,NA,"Pl"
"ICHmc1/06",16.3189224883244,18.2770402828976,19.8318198538765,NA,"Pl"
"ICHmw3/09",14.6537449756517,19.057380072,22.7009605867679,NA,"Pl"
"ICHxw/112",19.4031948197899,21.9860973996436,24.3107689527652,NA,"Pl"
