Unit,SImin,SImean,SImax,MeanPlotSiteIndex,Spp
BAFAun/00,0.76,12.29,19.84,NA,Lw
BAFAun/00,2.64,4.7,5.81,NA,Cw
BAFAun/00,5.3,7.33,8.35,NA,Bl
BAFAun/00,6.85,9.42,10.71,NA,Pl
BAFAun/00,9.57,12.87,15.46,NA,Hw
BAFAun/00,11.03,13.94,16.25,NA,Sx
BAFAun/00,15.61,18.93,20.69,NA,Fd
BAFAun/00,16.81,30.1,61.55,NA,Py
BAFAunp/00,0.83,13.44,21.64,NA,Lw
BAFAunp/00,3.68,6.52,8.11,NA,Cw
BAFAunp/00,6.24,8.61,9.91,NA,Bl
BAFAunp/00,7.77,10.69,12.22,NA,Pl
BAFAunp/00,10.08,13.55,16.56,NA,Hw
BAFAunp/00,11.34,14.33,16.8,NA,Sx
BAFAunp/00,15.92,19.29,21.11,NA,Fd
BAFAunp/00,16.56,29.5,60.66,NA,Py
BWBSdk/101,11.65,12.72,13.95,NA,Cw
BWBSdk/101,12.49,12.84,13.52,12,Bl
BWBSdk/101,13.25,13.49,13.89,15,Pl
BWBSdk/101,14.98,16.24,17.51,NA,Hw
BWBSdk/101,16.52,16.82,17.17,NA,Sx
BWBSdk/101,16.99,17.08,17.17,NA,Lw
BWBSdk/101,20.07,20.75,21.41,NA,Fd
BWBSdk/101,20.11,20.43,21.24,NA,Py
BWBSdk/102,9.34,9.48,9.9,NA,Cw
BWBSdk/102,11.33,11.52,11.81,NA,Bl
BWBSdk/102,11.58,11.9,12.38,12,Pl
BWBSdk/102,11.78,12.01,12.51,NA,Hw
BWBSdk/102,13.11,13.97,15.01,NA,Sx
BWBSdk/102,15.6,15.73,16.01,NA,Lw
BWBSdk/102,16.88,17.32,17.91,NA,Fd
BWBSdk/102,19.79,19.94,20.24,NA,Py
BWBSdk/Gb,7.47,8.75,9.9,NA,Cw
BWBSdk/Gb,10.67,11.43,12.38,NA,Pl
BWBSdk/Gb,11.11,12.01,12.51,NA,Hw
BWBSdk/Gb,11.57,11.86,12.12,NA,Bl
BWBSdk/Gb,12.78,13.75,15.01,NA,Sx
BWBSdk/Gb,13.16,14.7,16.01,NA,Lw
BWBSdk/Gb,14.79,16.31,17.91,NA,Fd
BWBSdk/Gb,18.16,19.19,20.24,NA,Py
BWBSdk/Gg,10.35,11.49,12.38,NA,Cw
BWBSdk/Gg,11,12.54,13.95,NA,Pl
BWBSdk/Gg,12.22,12.69,13.35,NA,Bl
BWBSdk/Gg,12.68,14.43,15.43,NA,Sx
BWBSdk/Gg,13.84,15.47,16.3,NA,Lw
BWBSdk/Gg,15.34,16.9,18.5,NA,Hw
BWBSdk/Gg,16.05,18.08,19.24,NA,Fd
BWBSdk/Gg,18.74,20.09,20.99,NA,Py
BWBSvk/00,1.06,17.14,27.67,NA,Lw
BWBSvk/00,7.19,12.8,15.81,NA,Cw
BWBSvk/00,9.37,12.94,14.75,NA,Bl
BWBSvk/00,10.87,14.95,16.99,NA,Pl
BWBSvk/00,11.78,15.84,19.03,NA,Hw
BWBSvk/00,12.37,15.63,18.22,NA,Sx
BWBSvk/00,15.75,28.2,57.68,NA,Py
BWBSvk/00,16.98,20.59,22.51,NA,Fd
CMAun/00,0.79,12.75,20.59,NA,Lw
CMAun/00,3.07,5.48,6.77,NA,Cw
CMAun/00,5.69,7.86,8.96,NA,Bl
CMAun/00,7.23,9.95,11.31,NA,Pl
CMAun/00,9.79,13.16,15.8,NA,Hw
CMAun/00,11.16,14.1,16.44,NA,Sx
CMAun/00,15.74,19.09,20.86,NA,Fd
CMAun/00,16.71,29.91,61.18,NA,Py
CMAunp/00,0.85,13.86,22.38,NA,Lw
CMAunp/00,4.12,7.33,9.06,NA,Cw
CMAunp/00,6.62,9.15,10.43,NA,Bl
CMAunp/00,8.15,11.21,12.75,NA,Pl
CMAunp/00,10.29,13.84,16.62,NA,Hw
CMAunp/00,11.47,14.48,16.89,NA,Sx
CMAunp/00,16.05,19.47,21.28,NA,Fd
CMAunp/00,16.46,29.48,60.29,NA,Py
CWHdm/01,15.37,17.59,18.82,NA,Py
CWHdm/01,15.43,17.29,19.09,NA,Sx
CWHdm/01,16.72,17.76,18.94,NA,Bl
CWHdm/01,18.63,20.02,21.66,NA,Pl
CWHdm/01,21.71,22.59,23.93,NA,Lw
CWHdm/01,23.74,25.8,27.65,27.58333344,Cw
CWHdm/01,24.91,27.32,29.73,30.33846136,Hw
CWHdm/01,34.24,36.46,38.54,34.06666676,Fd
CWHdm/03,14.48,16.28,18.24,NA,Sx
CWHdm/03,16.21,16.94,17.86,NA,Bl
CWHdm/03,17.57,18.48,18.94,NA,Py
CWHdm/03,18.25,19.34,20.89,NA,Pl
CWHdm/03,19.56,22.06,24.4,20,Cw
CWHdm/03,19.93,21.24,23.22,NA,Lw
CWHdm/03,20.43,23.25,25.98,NA,Hw
CWHdm/03,30.63,33.5,36.42,24,Fd
CWHdm/04,16.79,17.91,19.09,NA,Sx
CWHdm/04,17.48,18.73,19.93,NA,Bl
CWHdm/04,19.02,19.33,19.64,NA,Py
CWHdm/04,19.96,21.44,22.53,NA,Pl
CWHdm/04,20.79,21.44,22.28,NA,Lw
CWHdm/04,24.58,26.6,28.31,24,Cw
CWHdm/04,26.6,29.95,32.07,NA,Hw
CWHdm/04,34.39,36.57,38.72,28,Fd
CWHdm/05,18.23,18.78,19.43,NA,Py
CWHdm/05,18.4,19.57,20.61,NA,Bl
CWHdm/05,18.73,19.4,20.09,NA,Sx
CWHdm/05,21.3,22.14,22.68,NA,Pl
CWHdm/05,21.86,22.18,22.48,NA,Lw
CWHdm/05,27.6,29.09,30.23,28,Cw
CWHdm/05,29.22,31.58,33.09,NA,Hw
CWHdm/05,38.28,39.46,40.57,39.75636361,Fd
CWHdm/06,13.91,19.73,21.94,NA,Lw
CWHdm/06,14.81,21.61,29.23,NA,Py
CWHdm/06,15.34,17.84,19.34,NA,Bl
CWHdm/06,15.37,17.09,18.96,NA,Sx
CWHdm/06,17.62,19.79,21.89,NA,Pl
CWHdm/06,24.63,27.89,30.37,32,Hw
CWHdm/06,24.83,27.59,29.2,32,Cw
CWHdm/06,35.95,37.49,38.86,36,Fd
CWHdm/07,18.3,19.13,19.96,NA,Sx
CWHdm/07,18.86,19.51,20.42,NA,Bl
CWHdm/07,20.03,24.82,29.72,NA,Py
CWHdm/07,21.63,22.06,22.56,NA,Pl
