ID1,ID2,lat,long,el
00kfr01,1,51.86,-119.41,1560
00kfr02,2,51.86,-119.41,1570
00kfr03,3,51.86,-119.41,1549
00kfr04,4,51.87,-119.46,1700
00kfr05,5,51.87,-119.46,1710
00kfr06,6,51.87,-119.46,1720
00kfr07,7,51.87,-119.46,1710
00kfr08,8,51.87,-119.46,1710
00kfr09,9,51.87,-119.46,1650
00kfr10,10,51.87,-119.46,1660
00kfr11,11,51.87,-119.46,1650
00kfr12,12,51.87,-119.45,1660
00kfr13,13,51.87,-119.45,1680
00kfr14,14,51.87,-119.45,1680
00kfr15,15,51.86,-119.4,1550
00kfr16,16,51.86,-119.4,1553
00kfr17,17,51.86,-119.4,1545
00kfr18,18,51.86,-119.4,1545
00kfr19,19,51.86,-119.41,1580
00kfr20,20,51.84,-119.44,1638
00kfr21,21,51.84,-119.44,1640
00kfr22,22,51.84,-119.44,1645
00kfr23,23,51.85,-119.44,1630
00kfr24,24,50.37,-120.62,1395
00kfr25,25,50.37,-120.62,1400
00kfr26,26,50.36,-120.62,1380
00kfr27,27,50.36,-120.62,1390
00kfr28,28,50.36,-120.62,1340
00kfr29,29,50.36,-120.62,1410
00kfr30,30,50.33,-120.63,1360
00kfr31,31,50.32,-120.65,1320
00kfr32,32,50.32,-120.65,1335
00kfr33,33,50.33,-120.63,1365
00kfr34,34,50.38,-120.61,1380
00kfr35,35,50.33,-120.63,1370
00kfr36,36,51.3,-119.27,610
00kfr37,37,50.48,-120.53,1295
00kfr38,38,51.31,-120.27,610
00kfr39,39,51.41,-119.35,1450
00kfr40,40,51.41,-119.35,1430
00kfr41,41,51.45,-119.5,920
00kfr42,42,51.45,-119.47,520
00kfr43,43,51.42,-119.5,1250
00kfr44,44,50.48,-120.53,1305
00kfr45,45,51.37,-119.5,1380
00kfr46,46,51.32,-119.5,1210
00kfr47,47,50.38,-120.62,1420
00kfr48,48,49.92,-120.07,1510
00kfr49,49,50.48,-120.54,1350
00kfr50,50,50.48,-120.53,1350
00kfr51,51,49.89,-120.09,1555
00kfr52,52,49.9,-120.08,1605
00kfr53,53,49.9,-120.09,1525
00kfr54,54,49.88,-120.06,1610
00kfr55,55,49.88,-120.06,1600
00kfr56,56,49.88,-120.04,1610
00kfr57,57,49.88,-120.04,1600
00kfr59,59,49.88,-120.05,1590
00kfr60,60,49.88,-120.05,1575
00kfr61,61,49.89,-120.08,1530
00kfr62,62,49.89,-120.08,1550
00kfr63,63,49.89,-120.08,1550
00kfr64,64,49.9,-120.27,1455
00kfr65,65,49.9,-120.27,1455
00kfr66,66,49.9,-120.27,1455
00kfr67,67,49.88,-120.27,1455
00kfr68,68,49.89,-120.26,1482
00kfr69,69,50.48,-120.53,1400
00kfr70,70,49.89,-120.27,1485
00kfr71,71,50.42,-120.61,1435
00kfr72,72,49.84,-119.94,1286
00kfr73,73,49.84,-119.94,1284
00kfr74,74,49.84,-119.94,1282
00kfr75,75,49.84,-119.94,1280
00kfr76,76,49.91,-120.25,1500
00kfr77,77,49.94,-120.28,1620
00kfr78,78,49.94,-120.27,1385
00kfr79,79,50.42,-120.61,1450
00kfr80,80,49.94,-120.27,1700
00kfr81,81,49.94,-120.27,1690
00kfr82,82,50.88,-120.4,1220
00kfr83,83,50.42,-120.61,1455
00kfr84,84,51.1,-120.37,1490
00kfr85,85,51.1,-120.37,1495
00kfr86,86,50.42,-120.61,1465
00kfr87,87,51.14,-120.28,1310
00kfr88,88,51.14,-120.34,1390
00kfr89,89,50.91,-120.39,1330
00kfr90,90,50.91,-120.38,1330
00kfr91,91,50.12,-120.86,700
00kfr92,92,50.12,-120.86,725
00kfr93,93,50.12,-120.86,690
01kSB01,94,50.97,-122.41,1630
01kSB02,95,50.96,-122.41,1635
01kSB04,97,50.98,-122.41,1570
01kSB06,99,50.97,-122.41,1581
01kSB07,100,50.98,-122.19,1675
01kSB16,109,50.97,-122.14,1630
01kSB17,110,50.97,-122.17,1590
01kSB18,111,50.97,-122.17,1600
01kSB22,113,50.97,-122.17,1615
01kSB23,114,50.96,-122.13,1550
01kSB24,115,50.96,-122.12,1550
01kSB25,116,50.96,-122.12,1550
01kSB26,117,50.96,-122.12,1580
01kSB27,118,50.96,-122.12,1572
01kSB28,119,50.96,-122.12,1570
01kSB31,122,50.96,-122.09,1802
01OK001,123,50.1,-119.14,1350
01OK002,124,50,-119.08,1280
01OK004,125,50.05,-119.11,1400
01OK005,126,50.13,-118.79,1600
01OK006,127,50.11,-118.79,1690
01OK007,128,50.06,-118.82,1790
01OK008,129,50.08,-118.67,1700
01OK009,130,50.06,-118.67,1700
01OK010,131,50.03,-118.7,1720
01OK011,132,50.05,-118.76,1860
01OK012,133,49.51,-119.37,1680
01OK013,134,49.39,-119.35,1711
01OK014,135,49.39,-119.32,1562
01OK016,136,49.57,-119.34,1800
01OK017,137,49.52,-119.37,1800
01OK018,138,49.52,-119.37,1800
01OK019,139,49.52,-119.39,1910
01OK020,140,49.46,-119.34,1426
01OK021,141,49.47,-119.34,1390
01OK022,142,49.51,-119.31,1500
01OK023,143,49.5,-119.3,1460
01OK024,144,49.5,-119.27,1420
01OK025,145,49.44,-119.24,1440
01OK026,146,49.44,-119.35,1400
01OK027,147,49.39,-119.28,1820
01OK030,148,49.69,-119.46,1669
01OK031,149,49.7,-119.43,1660
01OK032,150,49.72,-119.44,1565
01OK033,151,49.63,-119.32,1750
01OK034,152,49.63,-119.32,1755
01OK035,153,49.6,-119.33,1820
01OK036,154,49.57,-119.37,1740
01OK037,155,49.57,-119.38,1870
01OK038,156,49.67,-119.38,1900
01OK039,157,49.65,-119.36,1690
01OK040,158,49.67,-119.45,1658
01OK041,159,49.67,-119.45,1650
01OK042,160,49.65,-119.3,1535
01OK043,161,49.49,-119.36,1462
01OK044,162,49.49,-119.37,1490
01OK046,163,49.74,-119.41,1240
01OK047,164,49.74,-119.38,1526
01OK048,165,49.73,-119.39,1430
01OK050,166,49.77,-119.36,1515
01OK052,167,49.5,-119.86,1606
01OK053,168,49.52,-120,1761
01OK055,169,49.56,-119.97,1890
01OK056,170,49.6,-119.92,1268
01OK057,171,49.59,-119.99,1500
01OK058,172,49.61,-120.02,1678
01OK059,173,49.56,-119.95,1659
01OK060,174,49.58,-119.95,1538
01OK061,175,49.63,-120.05,1743
01OK062,176,49.65,-120.04,1541
01OK063,177,49.66,-119.89,1452
01OK064,178,49.68,-119.9,1563
01OK065,179,49.98,-118.87,1800
01OK066,180,49.77,-120.07,1767
01OK067,181,49.78,-120.05,1763
01OK068,182,49.82,-120.01,1336
01OK069,183,49.95,-118.92,1844
01OK070,184,49.93,-118.97,1640
01OK071,185,49.84,-118.84,1650
01OK072,186,49.84,-118.84,1668
01OK073,187,49.85,-118.91,1614
01OK074,188,49.84,-118.94,1491
01OK075,189,49.84,-118.94,1486
01OK076,190,49.84,-118.94,1473
01OK077,191,49.81,-118.93,1714
01OK078,192,49.81,-118.96,1525
01OK079,193,49.81,-118.95,1554
01OK080,194,49.87,-118.93,1564
01OK081,195,49.85,-118.97,1537
01OK082,196,49.78,-119.08,1270
01OK083,197,49.92,-119.24,1379
01OK084,198,49.87,-118.92,1590
01OK085,199,50.05,-119.02,1566
01OK086,200,50.05,-119.02,1559
01OK087,201,50.06,-119,1690
01OK088,202,49.59,-119.16,1260
01OK089,203,49.61,-119.13,1650
01OK090,204,49.67,-119.14,1340
01OK091,205,50.05,-119.25,1488
01OK092,206,50.06,-119.22,1401
01OK093,207,49.69,-119.17,1430
01OK094,208,49.69,-119.17,1430
01OK095,209,49.71,-119.17,1360
01OK096,210,49.66,-119.07,1007
01OK097,211,49.68,-119.09,1030
