Species,Eda,Intercept,Slope,minSI,maxSI,minTemp,maxTemp
Pl,C/5,-3.034201941,1.762876861,10,25.3228569,8.76,16.087
Pl,B/3,1.049321087,1.176452752,9,24,8.76,16.252
Pl,D/6,2.826963157,1.309835367,12,24.10571405,9.404,16.087
Sx,C/5,7.321025206,0.952829358,12,25.70125031,8.76,16.438
Sx,B/3,-0.88752408,1.314412595,7.825428568,21.71181809,10.095,16.087
Sx,D/6,14.4896005,0.41352,11.45571423,26.66666667,9.873,16.704
Bl,C/5,-5.844048897,1.804219684,9.75,21.20424126,8.76,15.062
Bl,B/3,-4.668319208,1.581776552,9,20.73142842,8.76,15.062
Bl,D/6,0.208423028,1.359487826,11,22.00312496,9.404,15.062
Cw,C/5,-7.733994579,1.946640274,12,27.58333344,12.063,16.252
Cw,B/3,-3.771563177,1.372657693,8,20,12.458,16.252
Cw,D/6,-7.025768614,2.016895981,12,29.69090904,12.063,16.252
Hw,C/5,-17.58843569,2.843163521,12,30.33846136,10.906,15.886
Hw,B/3,-3.019728324,1.392388882,8,20.41714232,12.276,14.447
Hw,D/6,11.36243557,0.738734044,15,33.86272777,12.28,15.886
Fd,C/5,16.83120245,0.382741975,15,34.06666676,10.906,20.19
Fd,B/3,0.575665938,1.266349003,8,29.6608336,11.461,16.438
Fd,D/6,18.5337712,0.365416467,18,38.48222203,11.937,20.19
Lw,C/5,11.34152449,0.67020507,18,22.5,10.906,15.973
Lw,B/3,11.34152449,0.67020507,15,21,13.058,15.973
Lw,D/6,11.34152449,0.67020507,21,22.5,15.062,15.973
Py,C/5,12.4492388,0.381670843,15,21,13.793,20.19
Py,B/3,4.250805346,0.819557398,13,24,12.984,16.438
Py,D/6,12.4492388,0.381670843,18,21,14.91,20.19
