"Unit","Spp","BGC","ESuit","CMD","FFP","Eref_sm","MCMT","SHM","TD","PAS","DD5_sp","MSP","EdaCMD_min","SNR_num_min","aSMR_min","EdaCMD_mean","SNR_num_mean","aSMR_mean","EdaCMD_max","SNR_num_max","aSMR_max"
"BGxh1/04","Fd","BGxh1","E2",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,686.19305019305,1,0.5,736.19305019305,2,0.5,786.19305019305,3,0.5
"BGxh1/04","Py","BGxh1","E1",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,686.19305019305,1,0.5,736.19305019305,2,0.5,786.19305019305,3,0.5
"BGxh1/05","At","BGxh1","E3",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,293.096525096525,1,1,439.644787644788,3,2.25,586.19305019305,5,3.5
"BGxh1/05","Fd","BGxh1","E2",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,293.096525096525,1,1,439.644787644788,3,2.25,586.19305019305,5,3.5
"BGxh1/05","Py","BGxh1","E1",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,293.096525096525,1,1,439.644787644788,3,2.25,586.19305019305,5,3.5
"BGxh1/06","Act","BGxh1","E2",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,146.548262548263,3,3.5,219.822393822394,4,4.5,293.096525096525,5,5.5
"BGxh1/06","At","BGxh1","E3",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,146.548262548263,3,3.5,219.822393822394,4,4.5,293.096525096525,5,5.5
"BGxh1/06","Ep","BGxh1","E3",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,146.548262548263,3,3.5,219.822393822394,4,4.5,293.096525096525,5,5.5
"BGxh1/06","Fd","BGxh1","E1",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,146.548262548263,3,3.5,219.822393822394,4,4.5,293.096525096525,5,5.5
"BGxh1/06","Py","BGxh1","E1",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,146.548262548263,3,3.5,219.822393822394,4,4.5,293.096525096525,5,5.5
"BGxh1/07","Act","BGxh1","E2",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,73.2741312741313,3,5.5,109.911196911197,4,6.5,146.548262548263,5,7.5
"BGxh1/07","At","BGxh1","E3",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,73.2741312741313,3,5.5,109.911196911197,4,6.5,146.548262548263,5,7.5
"BGxh1/07","Ep","BGxh1","E3",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,73.2741312741313,3,5.5,109.911196911197,4,6.5,146.548262548263,5,7.5
"BGxh1/07","Fd","BGxh1","E2",586.19305019305,173.818532818533,419.324324324324,-2.896138996139,166.488416988417,24.1451737451737,45.0694980694981,516.142857142857,128.03861003861,73.2741312741313,3,5.5,109.911196911197,4,6.5,146.548262548263,5,7.5
