"PlotNumber","SubPlot","MeasurementID","TreeNum","TreeSpp","DBH","DBHClass","TotalHtCalc","HeightClass","CountAge","CountHT","TotalAge","AgeNote","TreeHealth","TreeOrigin","Conks","BlindConks","Scars","ForkOrCrook","FrostCrack","Mistletoe","RottenBranch","DeadOrBrokenTop","DamageType","DamageSeverity","CrownClass","Ht2LiveCrown","Appearance","CrownCondition","BarkRetention","WoodCondition","LichenLoading","MossLoading","WildLifeUse","TreeNotes","LiveDead","CuVolume","SPH","BasalArea","SiteIndexID","SiteIndex"
"PSP9175","1",0,1,"Fd",35.30000,30.00000,24.00000,,112,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP002","1",0,1,"Lw",25.80000,30.00000,27.50000,,67,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP002","1",0,2,"At",24.30000,30.00000,26.30000,,65,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP002","1",0,3,"Fd",24.70000,30.00000,24.00000,,64,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP003","1",0,1,"Pl",43.90000,45.00000,29.60000,,108,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP004","1",0,1,"Pl",22.60000,30.00000,28.00000,,91,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP004","1",0,2,"Fd",26.00000,30.00000,27.30000,,89,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP004","1",0,3,"Lw",29.70000,30.00000,30.30000,,91,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP005","1",0,1,"Lw",24.60000,30.00000,25.90000,,93,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9184","1",0,1,"Lw",14.10000,15.00000,13.40000,,60,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9185","1",0,1,"Se",32.00000,30.00000,21.40000,,54,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9185","1",0,2,"Lw",21.50000,15.00000,19.70000,,57,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP008","1",0,1,"Se",18.10000,15.00000,16.20000,,33,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP009","1",0,1,"Lw",20.70000,15.00000,14.10000,,24,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP009","1",0,2,"Bl",18.80000,15.00000,12.60000,,32,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp01","1",0,1,"Fd",38.00000,45.00000,26.20000,,80,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp01","1",0,2,"Py",34.80000,30.00000,26.90000,,77,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp03","1",0,1,"Fd",26.60000,30.00000,20.50000,,85,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp04","1",0,1,"Fd",31.90000,30.00000,24.50000,,86,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp05","1",0,1,"Fd",27.20000,30.00000,19.20000,,62,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP015","1",0,1,"Fd",31.80000,30.00000,20.60000,,77,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1600400","1",0,1,"Bl",28.40000,30.00000,22.60000,,76,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp06","1",0,1,"Bl",22.50000,15.00000,21.60000,,64,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp06","1",0,2,"Lw",28.90000,30.00000,24.80000,,71,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp07","1",0,1,"Lw",29.10000,30.00000,22.70000,,64,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp08","1",0,1,"Bl",22.70000,30.00000,21.70000,,58,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP020","1",0,1,"At",24.40000,30.00000,24.00000,,78,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP021","1",0,1,"Bl",21.80000,15.00000,23.60000,,50,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP021","1",0,2,"Hw",29.10000,30.00000,27.30000,,62,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP022","1",0,1,"Se",16.50000,15.00000,11.40000,,75,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP022","1",0,2,"Bl",14.80000,15.00000,9.800000,,89,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP023","1",0,1,"At",42.70000,45.00000,28.60000,,105,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9302","1",0,1,"Lw",24.80000,30.00000,30.20000,,84,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9302","1",0,2,"At",22.90000,30.00000,29.00000,,80,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9303","1",0,1,"Lw",30.50000,30.00000,33.40000,,81,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP026","1",0,1,"Hw",41.70000,45.00000,22.20000,,115,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP028","1",0,1,"Py",27.80000,30.00000,20.20000,,93,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP029","1",0,1,"Py",19.50000,15.00000,13.00000,,86,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP030","1",0,1,"Lw",16.00000,15.00000,16.70000,,71,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP030","1",0,2,"Fd",19.20000,15.00000,15.50000,,56,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP030","1",0,3,"Pl",21.90000,15.00000,16.80000,,63,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9309","1",0,1,"Pl",12.80000,15.00000,17.30000,,51,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP032","1",0,1,"Pl",35.00000,30.00000,30.30000,,81,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9314","1",0,1,"Lw",25.80000,30.00000,21.90000,,74,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp10","1",0,1,"Py",23.00000,30.00000,14.40000,,76,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
