PlotNumber,SubPlot,TreeNum,Species,DBH,Ht,BHA,SI50,remove
SBC5544,1,1,Hw,23.6,37,23,59.59,x
SBC4787,1,1,Bl,8.3,18.5,10,57.54,x
SBC6230,1,1,Fd,7.7,24.5,16,57,x
SBC2670,1,1,Ss,,33.4,23,56.94,
SBC6065,1,1,Fd,11.3,21.6,15,53.85,x
SBC6153,1,1,Pl,7.9,29.2,11,53.71,x
SBC5376,1,2,Hw,11.2,28.1,21,50.19,x
SBC2621,1,1,Ss,38.9,36.4,32,48.6,
SBC2593,1,1,Ss,36,37.7,34,48.04,
SBC3536,1,1,Pl,17.1,30,17,46.47,
SBC2661,1,1,Ss,21,27.8,25,46.38,
SBC6149,1,1,Pl,11.3,26.6,14,46.12,x
SBC2591,1,1,Ss,28.9,35,33,45.96,
SBC1002,1,1,Fd,30.2,26.2,23,45.67,
SBC0150,1,1,Fd,,56.2,70,45.62,
SBC0998,1,1,Bg,48.1,39.2,39,45.44,
SBC6322,1,1,Pl,10.9,22.3,11,45.44,x
SBC4313,1,1,Sx,25.9,32.9,29,45.09,
SBC6176,1,1,Bl,15.7,30.1,22,45.09,
SBC5544,1,2,Cw,20.8,37.2,24,44.35,
SBC6177,1,1,Bl,9.5,27.2,20,44.34,x
SBC2596,1,1,Ss,39.5,30.9,30,44.14,
SBC2586,1,1,Ss,67,33.4,33,44.12,
SBC1157,1,1,Fd,,17.15,15,44.04,
SBC0182,1,1,Fd,,47.3,56,43.9,
SBC0992,1,1,Hw,39.8,38.3,40,43.85,
SBC1085,1,1,Fd,,27.55,26,43.74,
SBC6593,1,1,Pl,7.5,19.8,10,43.64,x
SBC0141,1,1,Fd,,47,56,43.63,
SBC2702,1,3,Ss,50.2,39.5,42,43.62,
SBC7007,1,1,Sx,9.8,16.3,11,43.24,
SBC6466,1,1,Sx,16,26.5,21,42.84,
SBC1125,1,1,Fd,,13.43,12,42.6,
SBC6333,1,1,Bl,9.4,19,15,42.18,
SBC2686,1,2,Ss,39.2,18.4,18,42.17,
SBC2597,1,2,Ss,24,32.5,34,42.16,
SBC1142,1,1,Fd,,11.2,10,41.96,
SBC2629,1,3,Ba,21.2,26.3,24,41.81,
SBC0159,1,1,Fd,,49.4,65,41.8,
SBC5691,1,1,Fd,13.4,15.1,14,41.8,
SBC6174,1,1,Bl,7.1,20.2,16,41.75,
SBC2606,1,2,Ss,56.8,35.1,38,41.69,
SBC0977,1,1,Fd,47.2,29.9,31,41.53,
SBC7044,1,1,Sx,10.2,23.1,18,41.53,
SBC1065,1,1,Fd,,23.56,23,41.47,
SBC1126,1,1,Fd,,12.95,12,41.28,
