"PlotNumber","SubPlot","TreeNum","TreeSpp","DBH","DBHClass","Site_Index_SiteTools18_v2","NewAge","TotalHtCalc","HeightClass","CountAge","CountHT","TotalAge","TreeHealth","TreeOrigin","Conks","BlindConks","Scars","ForkOrCrook","FrostCrack","Mistletoe","RottenBranch","DeadOrBrokenTop","DamageType","DamageSeverity","CrownClass","Ht2LiveCrown","Appearance","CrownCondition","BarkRetention","WoodCondition","LichenLoading","MossLoading","WildLifeUse","TreeNotes","LiveDead","CuVolume","SPH","BasalArea","SiteIndexID","SiteIndex","flag","ProjectID","PlotID","AgeBH","TreeSiteIndex","MensurationID","Zone","SubZone","SiteSeries","SiteIndex_Location","PSPL_SiteIndexValue","Site_Index_Original","Site_Index_SiteTools18_v1","Site_Index_SiteTools19","StemAnalysis","SIBECplot","FlagtoFix_2019","Fixed_2019","Correction_2019","Comment_2019","DONOTUSE_2019","Flag_NoLocation","MAP_LABEL_v11","BEC_v11_AGREE","Field2","Field1","MoistureRegime","NutrientRegime"
"SBC3051","1",1,"Pl",19.40,,17.95,"63",20.30,,63,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,14752,63,17.95,18804,"SBS","mc2","01b","Interior",18.20,"17.95",17.95,18.87,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","C"
"SBC3052","1",1,"Sx",31.30,,17.85,"59",20.40,,59,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,14753,59,17.85,18805,"SBS","mc2","01b","Interior",18.89,"17.85",17.85,20.42,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","C"
"SBC3053","1",1,"Bl",40.10,,11.63,"83",17.80,,83,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,14754,83,11.63,18807,"SBS","mc2","06","Interior",15.80,"11.63",11.63,13.63,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"5","C"
"SBC3053","1",2,"Pl",26.70,,19.12,"58",20.70,,58,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,14754,58,19.12,18808,"SBS","mc2","06","Interior",18.20,"19.12",19.12,20.15,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"5","C"
"SBC3053","1",3,"Sx",20.30,,14.76,"52",15.30,,52,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,14754,52,14.76,18806,"SBS","mc2","06","Interior",18.89,"14.76",14.76,17.88,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"5","C"
"SBC3063","1",1,"Sx",18.40,,21.28,"24",10.90,,24,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,14764,24,21.34,18823,"SBS","mc2","05","Interior",18.89,"21.34",21.28,26.78,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","D"
"SBC3072","1",1,"Pl",15.90,,18.41,"23",10.40,,23,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,14773,23,18.41,18832,"SBS","mc2","02","Interior",18.29,"18.41",18.41,21.46,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"1","A"
"SBC3073","1",1,"Sx",9.80,,17.77,"17",6.10,,17,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,14774,17,17.69,18833,"SBS","mc2","01c","Interior",19.00,"17.69",17.77,25.90,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"2","B"
"SBC3074","1",1,"Pl",21.60,,17.97,"25",10.80,,25,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,14775,25,17.97,18834,"SBS","mc2","01b","Interior",18.39,"17.97",17.97,20.81,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"2","C"
"SBC3075","1",1,"Pl",20.70,,19.79,"23",11.40,,23,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,14776,23,19.79,18835,"SBS","mc2","05","Interior",18.50,"19.79",19.79,22.90,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","D"
"SBC3076","1",1,"Pl",16.80,,19.49,"20",10.00,,20,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,14777,20,19.49,18836,"SBS","mc2","05","Interior",18.60,"19.49",19.49,22.98,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","D"
"SBC3079","1",1,"Pl",14.30,,19.64,"20",10.10,,20,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,115,14780,20,19.64,18839,"SBS","mc2","05","Interior",18.39,"19.64",19.64,23.12,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","C"
"SBC3128","1",1,"Pl",28.75,,12.74,"90",17.60,,90,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14829,90,12.74,18889,"SBS","mc2","02","Interior",18.20,"12.74",12.74,13.30,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"2","B"
"SBC3129","1",1,"Pl",30.30,,13.94,"90",19.00,,90,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14830,90,13.94,18890,"SBS","mc2","02","Interior",18.29,"13.94",13.94,14.49,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"1","B"
"SBC3130","1",1,"Sx",50.90,,18.23,"91",27.60,,91,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14831,91,18.23,18891,"SBS","mc2","06","Interior",19.00,"18.23",18.23,19.72,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"5","D"
"SBC3131","1",1,"Sx",43.90,,18.69,"74",24.90,,74,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14832,74,18.69,18892,"SBS","mc2","06","Interior",19.29,"18.69",18.69,20.62,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"5","D"
"SBC3132","1",1,"Bl",35.70,,23.34,"58",25.70,,58,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14833,58,23.34,18893,"SBS","mc2","06","Interior",18.00,"23.34",23.34,25.45,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","D"
"SBC3132","1",1,"Pl",44.50,,21.95,"72",25.90,,72,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14833,72,21.95,18894,"SBS","mc2","06","Interior",19.60,"21.95",21.95,25.45,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","D"
"SBC3133","1",1,"Sx",44.50,,18.40,"70",23.70,,70,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14834,70,18.40,18895,"SBS","mc2","06","Interior",19.00,"18.4",18.40,20.47,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","D"
"SBC3135","1",1,"Bl",31.70,,15.84,"77",21.80,,77,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14836,77,15.84,18897,"SBS","mc2","10","Interior",16.10,"15.84",15.84,17.82,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","D"
"SBC3136","1",1,"Pl",2223.00,,18.13,"67",21.10,,67,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14837,67,18.13,18898,"SBS","mc2","01c","Interior",18.70,"18.13",18.13,18.97,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"3","C"
"SBC3137","1",1,"Sx",45.50,,22.16,"64",26.30,,64,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14838,64,22.16,18899,"SBS","mc2","06","Interior",18.89,"22.16",22.16,24.40,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"5","C"
"SBC3138","1",1,"Sx",38.50,,23.85,"58",26.40,,58,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14839,58,23.85,18900,"SBS","mc2","06","Interior",18.89,"23.85",23.85,26.35,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"5","D"
"SBC3139","1",1,"Bl",48.60,,15.88,"87",23.50,,87,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14840,87,15.88,18901,"SBS","mc2","09","Interior",15.80,"15.88",15.88,17.56,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"5","D"
"SBC3140","1",1,"Sx",39.70,,21.16,"70",26.70,,70,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,116,14841,70,21.16,18902,"SBS","mc2","06","Interior",19.00,"21.16",21.16,23.15,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"5","D"
"SBC3427","1",1,"Pl",23.50,,14.74,"101",20.80,,101,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15251,101,14.74,19585,"SBS","mc2","05","Interior",20.00,"14.74",14.74,15.18,0,1,0,0,,,0,0,"SBSdk",0,0,0,"4","d"
"SBC3428","1",1,"Pl",30.50,,19.36,"99",25.90,,99,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15252,99,19.36,19586,"SBS","mc2","05","Interior",19.89,"19.36",19.36,19.78,0,1,0,0,,,0,0,"SBSdk",0,0,0,"5","d"
"SBC3429","1",1,"Bl",29.40,,11.91,"92",19.50,,92,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15253,92,11.91,19587,"SBS","mc2","01","Interior",15.80,"11.91",11.91,13.68,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"3","c"
"SBC3430","1",1,"Bl",28.90,,16.23,"51",16.50,,51,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15254,51,16.23,19588,"SBS","mc2","01","Interior",15.80,"16.23",16.23,19.27,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"3","d"
"SBC3431","1",1,"Pl",20.10,,12.87,"43",11.50,,43,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15255,43,12.87,19589,"SBS","mc2","12","Interior",,"12.87",12.87,14.65,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"7","c"
"SBC3431","1",1,"Sx",17.80,,14.31,"37",10.60,,37,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15255,37,14.26,19590,"SBS","mc2","12","Interior",,"14.26",14.31,14.65,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"7","c"
"SBC3432","1",1,"Bl",36.40,,16.81,"58",18.90,,58,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15256,58,16.81,19591,"SBS","mc2","01","Interior",16.10,"16.81",16.81,19.45,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","c"
"SBC3433","1",1,"Bl",34.70,,18.13,"55",19.50,,55,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15257,55,18.13,19592,"SBS","mc2","06","Interior",16.10,"18.13",18.13,20.82,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"5","c"
"SBC3433","1",1,"Sx",37.50,,18.45,"60",21.30,,60,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15257,60,18.45,19593,"SBS","mc2","06","Interior",18.89,"18.45",18.45,20.82,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"5","c"
"SBC3436","1",1,"Bl",26.70,,15.09,"54",16.10,,54,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15260,54,15.09,19596,"SBS","mc2","01","Interior",16.10,"15.09",15.09,18.11,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","c"
"SBC3437","1",1,"Sx",45.70,,19.17,"89",28.30,,89,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15261,89,19.17,19597,"SBS","mc2","06","Interior",19.00,"19.17",19.17,20.67,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","e"
"SBC3438","1",1,"Bl",46.10,,15.77,"100",25.20,,100,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15262,100,15.77,19598,"SBS","mc2","01","Interior",16.10,"15.77",15.77,17.18,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","c"
"SBC3439","1",1,"Sx",65.50,,20.02,"99",30.80,,99,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15263,99,20.02,19599,"SBS","mc2","06","Interior",18.89,"20.02",20.02,21.30,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","d"
"SBC3441","1",1,"Sx",29.50,,23.27,"59",26.10,,59,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15265,59,23.27,19601,"SBS","mc2","09a","Interior",19.60,"23.27",23.27,25.74,0,1,0,0,,,0,0,"SBSdk",0,0,0,"6","d"
"SBC3443","1",1,"Bl",22.90,,18.64,"60",21.30,,60,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15267,60,18.64,19603,"SBS","mc2","01","Interior",17.29,"18.64",18.64,21.07,0,1,0,0,,,0,0,"SBSdk",0,0,0,"4","c"
"SBC3444","1",1,"Bl",28.70,,18.04,"64",21.60,,64,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15268,64,18.04,19604,"SBS","mc2","01","Interior",17.39,"18.04",18.04,20.33,0,1,0,0,,,0,0,"SBSdk",0,0,0,"4","c"
"SBC3445","1",1,"Bl",20.50,,18.07,"43",16.00,,43,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15269,43,18.07,19605,"SBS","mc2","01","Interior",15.80,"18.07",18.07,21.36,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","c"
"SBC3446","1",1,"Bl",22.50,,14.84,"53",15.60,,53,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15270,53,14.84,19606,"SBS","mc2","01","Interior",16.20,"14.84",14.84,17.94,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","c"
"SBC3449","1",1,"Sx",34.20,,14.21,"106",25.20,,106,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15273,106,14.21,19607,"SBS","mc2","10","Interior",18.70,"14.21",14.21,15.54,0,1,0,0,,,0,0,"SBSdk",0,0,0,"6","d"
