,Zone,SubZone,SiteSeries,PlotNumber,Species,BHAge,Height,SI_interior,SI_coast
1,ICH,wk1,103,y001,Fd,17,11.1,26.8,27.64
2,ICH,wk1,103,Y002,Fd,18,12.3,28,28.9
3,ICH,wk1,103,Y003,Fd,17,8.3,20.47,21.03
4,ICH,wk1,104,Y004,Fd,18,10.3,23.81,24.49
5,ICH,wk1,103,Y005,Fd,16,10,25.69,26.53
6,ICH,wk1,104,Y006,Fd,18,11.8,26.97,27.81
7,ICH,wk1,104,Y007,Fd,14,10.1,29.18,30.17
8,ICH,wk1,103,Y008,Fd,14,8.8,25.72,26.58
9,ICH,mw5,104,B001,Cw,87,19,11.61,12.99
10,MS,dm1,01,D001,Sx,81,16.2,10.3,10.41
11,MS,dm1,113,D002,Sx,62,15,12.28,12.3
12,MS,dm1,104,D003,Bl,20,7.4,16.92,16.92
13,MS,dm1,103,D004,Fd,19,7.8,17.51,17.88
14,MS,dm1,103,D005,Pl,15,7.8,19.32,19.32
15,MS,dm1,102,D006,Fd,13,5.5,17.55,18.26
16,MS,dm1,102,D006,Pl,14,5.7,15.96,15.96
17,IDF,dk2,110,Peach20,Sx,53,26.7,25.67,25.53
18,IDF,dk2,104,Peach21,Pl,62,16.8,14.81,14.81
19,ICH,mw2,110,C001,Hw,19,5.5,14.22,14.4
20,MS,dm2,111,t496,Pl,106,27.9,20.69,20.69
21,ESSF,dc2,104a,t49107A,Pl,120,23.1,15.67,15.67
22,ESSF,dc2,101,t49112a,Bl,106,26.3,16.1,16.1
23,ESSF,dc2,101,t49112a,Pl,117,25,17.48,17.48
24,ESSF,dc2,101,t49112a,Sx,113,24.7,13.05,12.64
25,ESSF,dc2,101,t49115,Pl,115,22.7,15.57,15.57
26,ESSF,dc2,101,t49115,Sx,101,22.1,12.31,12.15
27,MS,dm2,111,t491a,Pl,93,27.9,21.63,21.63
28,MS,dm2,104,t4950,Pl,93,20.9,15.37,15.37
29,IDF,dk2,105,t4994,Fd,81,26.4,19.45,20.56
30,IDF,dk2,105,t4994,Pl,94,24.9,18.85,18.85
31,ESSF,dc2,101,t49121,Pl,79,21.9,17.47,17.47
32,ESSF,dc2,101,t49121,Sx,88,21.8,13.71,13.48
33,IDF,mw1,04,t4987,Fd,105,34.5,22.28,24.02
34,CWH,mm1,05,SBC1120,Fd,20,19.8,39.37,41.08
35,CWH,mm1,03,SBC1121,Fd,21,18.9,36.4,37.76
36,CWH,mm1,04,SBC1122,Fd,23,22.4,39.53,40.86
37,CWH,mm2,03,SBC1123,Fd,15,10.6,28.79,29.76
38,CWH,mm2,04,SBC1124,Fd,17,12.2,29.25,30.21
39,CWH,xm,07,SBC1125,Fd,12,13.4,42.6,44.25
40,CWH,xm,05,SBC1126,Fd,12,13,41.28,42.89
41,CWH,xm,01,SBC1127,Fd,11,7.8,28.33,29.74
42,CWH,xm,01,SBC1128,Fd,13,9.2,28.62,29.71
43,CWH,xm,04,SBC1129,Fd,15,12.9,34.14,35.31
44,CWH,xm,07,SBC1130,Fd,11,9.9,34.86,36.56
45,CDF,mm,01,SBC1131,Fd,10,8.6,33.44,35.17
46,CDF,mm,04,SBC1132,Fd,10,11,41.16,43.14
47,CDF,mm,04,SBC1133,Fd,10,9.8,37.35,39.21
48,CDF,mm,04,SBC1134,Fd,11,10.4,36.22,37.99
49,CWH,mm2,01,SBC1135,Fd,10,8.6,33.37,35.1
50,CWH,mm2,03,SBC1136,Fd,13,8.2,25.58,26.58
51,CWH,mm2,03,SBC1137,Fd,15,7.9,21.97,22.71
52,CWH,mm2,01,SBC1138,Fd,15,12.4,33.14,34.27
53,CWH,mm2,01,SBC1139,Fd,29,11.5,17.56,18.01
54,IDF,mw1,04,t49145a,Fd,87,27.8,19.7,20.96
55,ICH,mk1,03,t49142,Fd,54,16.8,15.93,16.09
56,IDF,mw1,04,t4993a,Fd,63,23.6,20.21,20.77
57,IDF,mw1,04,t4993a,Py,63,24.3,20.17,20.17
58,ICH,mk1,04,t49147,Pl,64,18.5,16.12,16.12
59,ICH,mk1,04,t49148,Pl,67,20.9,17.95,17.95
60,ICH,mk1,04,t49139,Pl,65,20.8,18.14,18.14
61,IDF,dk1,101,t4963,Pl,61,21.5,19.4,19.4
62,IDF,dk1,105,t4968a,Pl,60,21.4,19.46,19.46
63,MS,dm2,104,t4930,Pl,61,20.9,18.82,18.82
64,MS,dm2,101,t4912,Pl,57,24.1,22.59,22.59
65,MS,dm2,101,t4912,Sx,54,21.3,20.06,19.97
66,MS,dm2,101,t4924,Pl,67,19.7,16.83,16.83
67,MS,dm2,101,t4916a,Pl,59,23.1,21.26,21.26
68,IDF,xh1,104,t4959,Fd,101,23.3,15.2,16.6
69,SBS,mk1,04,SBC0922,Ep,68,20,17.05,17.05
70,SBS,mk1,04,SBC0922,Pl,53,22.7,22.03,22.03
71,SBS,mk1,01,SBC0923,At,73,22.3,18.16,18.16
72,SBS,mk1,03,SBC0924,Pl,63,23.2,20.69,20.69
73,SBS,wk2,01,SBC0925,At,92,32,24.58,24.58
74,SBS,wk2,03,SBC0926,Pl,70,26.2,22.49,22.49
