"BGC","rSMR0","rSMR1","rSMR2","rSMR3","rSMR4","rSMR5","rSMR6","rSMR7"
"BAFAun","3.5","4","4.5","5","5","6.5","8","8"
"BAFAunp","3","4","4.5","5","5","6.5","7.5","8"
"BGdh_OR","0","0","0","0.5","1","2","4","6.5"
"BGdw_WA","0","0","0","0.5","1.5","2.5","4.5","7"
"BGmk_ID","0","0","1","1.5","2","3.5","5.5","7.5"
"BGmk_MT","0","0","0.5","1","1.5","3","5","7"
"BGmw_WA","0","0","0","1","1.5","2.5","4.5","7"
"BGwm_WA","0","0.5","1","2","2.5","4","5.5","7.5"
"BGxh_WA","0","0","0","0","1","2","4","6.5"
"BGxh1","0","0","0","0.5","1.5","2.5","4.5","7"
"BGxh2","0","0","0.5","1","1.5","3","5","7"
"BGxh3","0","0","0.5","1","2","3","5","7"
"BGxw1","0","0","1","1.5","2","3.5","5.5","7.5"
"BGxw2","0","0.5","1","1.5","2.5","4","5.5","7.5"
"BSJPap","1","1.5","2","2.5","3.5","5","6","8"
"BSJPku","1","1.5","2","2.5","3.5","5","6","8"
"BSJPpa","0.5","1.5","2","2.5","3","4.5","6","8"
"BWBScm","1","1.5","2","3","3.5","5","6","8"
"BWBSdk","1.5","2.5","3","3.5","4","5.5","6.5","8"
"BWBSdm","1","1.5","2","2.5","3.5","5","6","8"
"BWBSlb","1","1.5","2.5","3","3.5","5","6","8"
"BWBSlf","1.5","2","3","3.5","4","5.5","6.5","8"
"BWBSmk","1.5","2","2.5","3","4","5","6","8"
"BWBSmw","1","2","2.5","3","3.5","5","6","8"
"BWBSnm","1","1.5","2","2.5","3.5","5","6","8"
"BWBSpp","1","1.5","2","2.5","3.5","5","6","8"
"BWBSub","1.5","2","2.5","3","4","5","6","8"
"BWBSuf","2","2.5","3","4","4.5","5.5","6.5","8"
"BWBSvk","3.5","4","4.5","5","5","6.5","8","8"
"BWBSwk1","2.5","3","3.5","4","5","6","7","8"
"BWBSwk2","1.5","2.5","3","3.5","4","5.5","6.5","8"
"BWBSwk3","2","2.5","3.5","4","4.5","5.5","7","8"
"CCH","0","0","0","0.5","1","2.5","4.5","7"
"CDFmm","2","2.5","3.5","4","4.5","5.5","7","8"
"CDFmm_OR","1","2","2.5","3","3.5","5","6","8"
"CDFmm_WA","2","2.5","3","4","4.5","5.5","6.5","8"
"CDFxm_CA","0","0.5","1","1.5","2.5","4","5.5","7.5"
"CMAun","3.5","4","4.5","5","5","6.5","8","8"
"CMAun_CA","2","2.5","3","3.5","4.5","5.5","6.5","8"
"CMAun_OR","2.5","3","4","4.5","5","6","7","8"
"CMAun_WA","3","4","4.5","5","5","6.5","7.5","8"
"CMAunp","3.5","4","4.5","5","5","6.5","8","8"
"CMAwh","3.5","4","4.5","5","6","7","8","8"
"CMXdm_OR","0.5","1","1.5","2","3","4.5","5.5","7.5"
"CMXwm_OR","0.5","1.5","2","2.5","3","4.5","6","8"
"CMXxm_CA","0","0.5","1","1.5","2","3.5","5.5","7.5"
"CRF","0.5","1.5","2","2.5","3","4.5","6","8"
"CVG","0","0","0","0","0","1","3.5","6"
"CWFds_CA","0.5","1.5","2","2.5","3","4.5","6","8"
"CWFmm_OR","1","1.5","2.5","3","3.5","5","6","8"
"CWFwm_OR","1.5","2","2.5","3","4","5","6","8"
"CWHdm","3","3.5","4","5","5","6","7","8"
"CWHdm_OR","2","2.5","3","4","4.5","5.5","6.5","8"
"CWHdm_WA","2.5","3","3.5","4.5","5","6","7","8"
"CWHds_WA","2","2.5","3.5","4","4.5","5.5","7","8"
"CWHds1","2.5","3","3.5","4.5","5","6","7","8"
"CWHds2","2","2.5","3.5","4","4.5","5.5","7","8"
"CWHmh_OR","2.5","3","3.5","4.5","5","6","7","8"
"CWHmm1","3","3.5","4","5","5","6","7","8"
"CWHmm2","3","3.5","4.5","5","5","6.5","7.5","8"
"CWHms_OR","2.5","3","3.5","4","5","6","7","8"
"CWHms_WA","2","3","3.5","4","4.5","5.5","7","8"
"CWHms1","3","3.5","4","4.5","5","6","7","8"
"CWHms2","3","4","4.5","5","5","6.5","7.5","8"
"CWHvh_WA","3","3.5","4","5","5","6","7","8"
"CWHvh1","3.5","4","4.5","5","5","6.5","8","8"
"CWHvh2","3.5","4","4.5","5","6","7","8","8"
"CWHvh3","3.5","4","4.5","5","5","6.5","8","8"
"CWHvm_OR","2.5","3","4","4.5","5","6","7","8"
"CWHvm_WA","3","3.5","4","5","5","6","7","8"
"CWHvm1","3.5","4","4.5","5","5","6.5","7.5","8"
"CWHvm2","3.5","4","4.5","5","5","6.5","8","8"
