Spp,cos_int,DD5_range,maxSI,minDD5,firstmaxDD5,lastmaxDD5,lastDD5,maxratecalc,lossratecalc,si1,si2,si3,si4,si5
Ac,c,4000,35,1000,1800,2000,2300,,,,,,,
Ba,c,4000,28,600,1000,1200,1500,,,,,,,
Bg,c,4000,40,1200,1500,1800,2500,,,,,,,
Bp,c,4000,40,1000,,1500,,,,,,,,
Cw,c,4000,31,800,1400,1600,2200,,,,,,,
Dr,c,4000,40,1200,1700,2000,2400,,,,,,,
Ep,c,4000,20.72999995,1000,1700,2000,2400,,,,,,,
Fd,c,4000,41,750,1800,1800,2300,,,3,10,16,24,36
Hm,c,4000,24,500,1000,1000,1500,,,,,,,
Hw,c,4000,35,750,1500,2100,2500,,,,,,,
Pl,c,4000,24,750,1200,1900,2300,,,,,,,
Pw,c,4000,30,750,1600,2000,2200,,,,,,,
Py,c,4000,33,1100,1500,1800,2500,,,,,,,
Ss,c,4000,36,750,1200,1500,1800,,,,,,,
Yc,c,4000,24,700,900,1200,1600,,,,,,,
Ac,i,3000,30,750,1500,1400,1600,,,,,,,
At,i,3000,30,500,1200,2000,3000,,,,,,,
Bg,i,3000,28,1400,1800,2100,2700,0.1,,,,,,
Bl,i,3000,23,100,1000,1100,1500,0.04,0.16,3,9,12,18,21
Cw,i,3000,24,750,1250,1500,2000,0.1,0.1,,,,,
Ep,i,3000,30,1000,1300,1500,1700,0.04,0.16,,,,,
Fd,i,3000,28,500,1100,1400,2100,0.1,0.1,3,10,16,22,26
Hw,i,3000,26,750,1300,1400,1700,0.1,0.16,,,,,
La,i,3000,15,100,,750,,0.04,0.16,,,,,
Lt,i,3000,15,350,,1000,,0.04,0.16,,,,,
Lw,i,3000,35,600,1100,1300,1900,0.1,0.1,,,,,
Pa,i,3000,12,350,500,650,800,0.04,0.16,,,,,
Pl,i,3000,27,400,1100,1200,1600,0.04,0.16,,,,,
Pw,i,3000,27,750,1200,1500,1900,0.1,0.1,,,,,
Py,i,3000,24,1000,1600,1800,2200,0.1,0.1,,,,,
Sb,i,3000,15,450,800,1000,1250,0.04,0.16,,,,,
Se,i,3000,26.27111117,400,,1200,,0.04,0.16,,,,,
Sw,i,3000,21,400,,1200,,0.04,0.16,,,,,
Sx,i,3000,26,400,1200,1200,1600,0.04,0.16,,,,,
