SS_NoSpace,TreeSpp,MeanPlotSiteIndex
SBSmc2/12,Bl,9.131428582
ESSFxv1/05,Bl,10.02125001
IDFdk4/02,Fd,10.28625005
ESSFmc/08,Bl,10.56375003
ESSFmc/08,Bl,10.56375003
SBSwk3/05,Sb,11.1942858
SBSwk3/05,Sb,11.1942858
SBSmc2/12,Sx,11.20666663
SBSmc2/12,Sx,11.20666663
ESSFmc/08,Se,11.66111125
ESSFmc/08,Se,11.66111125
IDFxw/04,Py,11.86142853
MSxk/02,Pl,11.86333333
MSxk/02,Pl,11.86333333
SBPSmc/02,Pl,12.02428586
IDFdk4/07,Fd,12.08285713
ESSFxv1/05,Pl,12.15499997
SBSmc2/12,Pl,12.1925
SBSmc2/12,Pl,12.1925
SBSwk3/05,Sx,12.34142862
SBSwk3/05,Sx,12.34142862
IDFdk4/04,Fd,12.44428567
IDFdk4/05,Fd,12.58857141
ESSFmc/10,Bl,12.66999997
SBPSxc/02,Pl,12.72199993
MSdv/06,Sx,12.91857147
IDFxm/03,Fd,13.03000001
MSdm1/03,Pl,13.25428581
MSdm1/03,Pl,13.25428581
ESSFmc/02,Se,13.26900001
ESSFmc/02,Se,13.26900001
ESSFwv/01,Se,13.38000011
SBSwk3/02,Sx,13.40428557
SBSwk3/02,Sx,13.40428557
IDFxm/03,Pl,13.40999998
ESSFmc/04,Bl,13.46454551
ESSFmc/04,Bl,13.46454551
ESSFmc/02,Pl,13.48142869
ESSFmc/02,Pl,13.48142869
ESSFdc2/04,Bl,13.55333339
MSxv/03,Pl,13.61090903
ESSFwc2/05,Bl,13.6218182
ESSFwc2/05,Bl,13.6218182
ESSFwc2/05,Bl,13.6218182
SBSdk/10,Sx,13.62712508
SBSdk/10,Sx,13.62712508
ESSFmc/03,Bl,13.62909092
ESSFwv/01,Bl,13.65666672
SBPSxc/01,Pl,13.74052625
ESSFxc/05,Pl,13.74714279
SBSmk1/03,Sx,13.75000014
SBSmc2/02,Bl,13.83200006
SBSmc2/02,Bl,13.83200006
SBSmc2/02,Bl,13.83200006
ESSFmc/02,Bl,13.86000001
ESSFmc/02,Bl,13.86000001
SBSdk/02,Sx,13.904
SBSdk/02,Sx,13.904
ESSFdc1/03,Bl,13.97090912
ESSFdc1/03,Bl,13.97090912
MSxk/06,Sx,14.0575
MSxk/06,Sx,14.0575
MSxv/08,Sx,14.07714272
SBSmc2/02,Sx,14.13909101
SBSmc2/02,Sx,14.13909101
SBSmc2/02,Sx,14.13909101
SBSmc2/03,Bl,14.21749985
ESSFmc/01,Se,14.24400005
SBSmc2/07,Bl,14.26285703
SBSmc2/07,Bl,14.26285703
ESSFdk/04,Se,14.27392851
SBSdw3/02,Fd,14.28888877
ESSFmc/04,Se,14.48699989
ESSFmc/04,Se,14.48699989
MSdv/06,Pl,14.5
ESSFdc1/01,Bl,14.56799994
ESSFdc1/01,Bl,14.56799994
ESSFdc1/04,Bl,14.57374966
ESSFdc1/04,Bl,14.57374966
MSxk/07,Sx,14.58428608
MSxk/07,Sx,14.58428608
IDFdk4/08,Sx,14.59222221
SBPSdc/02,Pl,14.64999986
SBPSxc/03,Pl,14.6762501
SBSmc2/03,Pl,14.68571459
SBSmc2/03,Pl,14.68571459
ESSFdk/04,Bl,14.72715385
IDFxm/04,Fd,14.78714262
IDFxm/04,Fd,14.78714262
MSxv/04,Pl,14.80882347
MSxk/01,Sx,14.82416662
MSxk/01,Sx,14.82416662
ESSFmc/01,Bl,14.89769217
SBSdk/03,Sx,14.929
SBSdk/03,Sx,14.929
ESSFxc/06,Se,14.93285738
MSdc2/01,Pl,14.97999995
ESSFxc/07,Se,14.98571409
SBSmc3/02,Pl,14.99000032
ESSFmc/04,Pl,15.00600023
ESSFmc/04,Pl,15.00600023
SBPSxc/05,Sx,15.02571433
ESSFmc/05,Bl,15.07200003
ESSFdk/03,Bl,15.15154544
SBPSmc/05,Sx,15.27857113
ESSFdk/03,Se,15.28449984
IDFxm/05,Fd,15.28571456
IDFdk4/01,Fd,15.292143
SBSmc2/03,Sx,15.33444447
SBSmc2/03,Sx,15.33444447
ESSFwc4/02,Bl,15.33692316
ESSFwc4/02,Bl,15.33692316
SBSmc2/01,Bl,15.38170974
SBSmc2/01,Bl,15.38170974
SBSmc2/01,Bl,15.38170974
IDFxw/01,Py,15.38999993
ESSFxc/01,Bl,15.41666667
SBPSxc/03,Sx,15.42500031
SBSmc2/10,Bl,15.44631582
SBSmc2/10,Bl,15.44631582
MSxv/07,Pl,15.46857139
IDFmw1/01,Cw,15.47083314
SBSmk1/06,Sx,15.47444428
ESSFmc/06,Bl,15.49416677
SBSdk/04,Sx,15.50333352
SBSdk/04,Sx,15.50333352
MSxk/01,Pl,15.53666673
MSxk/01,Pl,15.53666673
ESSFmc/10,Se,15.60076908
MSdm2/03,Pl,15.63199997
SBSmk1/01,Bl,15.66166655
SBSmc3/03,Pl,15.6833334
SBSwk3/05,Pl,15.69714274
SBSwk3/05,Pl,15.69714274
SBSwk3/01,Bl,15.7420001
SBSwk3/01,Bl,15.7420001
MSxv/05,Pl,15.77285685
ESSFdc2/01,Se,15.8833334
ESSFmc/03,Pl,15.89250004
ICHwk2/04,Cw,15.9171426
ESSFdc1/01,Se,15.93090916
ESSFdc1/01,Se,15.93090916
MSxk/06,Pl,15.94192296
MSxk/06,Pl,15.94192296
IDFdk1/04,Pl,15.95999993
MSdm1/04,Sx,15.96714265
MSdm1/04,Sx,15.96714265
ESSFwc4/02,Pl,15.97812504
ESSFwc4/02,Pl,15.97812504
SBSdk/02,Fd,15.98142869
SBSdk/02,Fd,15.98142869
MSxk/05,Pl,15.99833345
MSxk/05,Pl,15.99833345
CWHvh2/01,Ba,16
CWHvh2/01,Ss,16
CWHvh2/01,Yc,16
CWHvh2/03,Cw,16
CWHvh2/03,Hw,16
CWHvh2/03,Pl,16
CWHvh2/11,Hw,16
CWHvh2/11,Pl,16
CWHvh2/13,Cw,16
CWHvh2/13,Hw,16
CWHvh2/13,Yc,16
CWHvh2/14,Ss,16
CWHvh2/15,Cw,16
CWHvh2/15,Hw,16
CWHvh2/16,Ss,16
CWHvh2/18,Cw,16
CWHvm1/03,Cw,16
CWHvm1/03,Pl,16
CWHvm1/12,Hm,16
CWHvm1/12,Hw,16
CWHvm1/12,Pl,16
CWHvm2/03,Ba,16
CWHvm2/03,Cw,16
CWHvm2/03,Hw,16
