SS_NoSpace,TreeSpp,MeanPlotSiteIndex,Source
CMAun,Ba,0,WHM - known limit
MHdm_OR,Ba,18,Simpson E. Or. Cascades
CWHdm_OR,Ba,0,Simpson E. Or. Cascades
CWHvm_OR,Ba,21,McCain W.OR Cascades
MHdm_OR,Bc,18,Simpson E. Or. Cascades
CWHvm_OR,Bc,22,McCain W.OR Cascades
CWHms_OR,Bc,26,Simpson E. Or. Cascades
IWFdw_OR,Bc,27,Simpson E. Or. Cascades
MHdm_OR,Bg,18,Simpson E. Or. Cascades
CWHvm_OR,Bg,22,McCain W.OR Cascades
CWHms_OR,Bg,26,Simpson E. Or. Cascades
IWFdw_OR,Bg,27,Simpson E. Or. Cascades
IGFmm_OR,Bg,28,Johnson Blue-Ochoco MTns
CWHdm_OR,Bg,30,Simpson E. Or. Cascades
BAFAun,Bl,0,
IMAun,Bl,0,WHM - known limit
ESSFdcp,Bl,5,WHM - known limit
ESSFdkp,Bl,5,WHM - known limit
ESSFdvp,Bl,5,WHM - known limit
ESSFmcp,Bl,5,WHM - known limit
ESSFwcp,Bl,5,WHM - known limit
ESSFwvp,Bl,5,WHM - known limit
MHdm_OR,Bl,12,Simpson E. Or. Cascades
CWHms_OR,Bl,18,Simpson E. Or. Cascades
ESSFxw_OR,Bl,21,Johnson Blue-Ochoco MTns
Msxk_OR,Bl,21,Johnson Blue-Ochoco MTns
BGxw1,Bl,0,WHM - known limit
IGFmm_OR,Bl,0,WHM - known limit
IWFdw_OR,Bl,0,WHM - known limit
MHRFmm_OR,Bm,14,Simpson E. Or. Cascades
MHdm_OR,Bm,18,Simpson E. Or. Cascades
IWFdw_OR,Bm,20,Simpson E. Or. Cascades
CWHms_OR,Bm,26,Simpson E. Or. Cascades
CWHdm_OR,Bm,30,Simpson E. Or. Cascades
MHdm_OR,Bp,18,Simpson E. Or. Cascades
CWHdm_OR,Bp,27,Simpson E. Or. Cascades
CWHms_OR,Bp,30,Simpson E. Or. Cascades
CWHvm_OR,Bp,34,McCain W.OR Cascades
ESSFmc,Cw,0,WHM - known limit
CWHms_OR,Cw,18,Simpson E. Or. Cascades
CWHvm_OR,Cw,18,McCain W.OR Cascades
CWHdm_OR,Cw,20,Simpson E. Or. Cascades
CWHdm_OR,Dr,40,Simpson E. Or. Cascades
CCHun_CA,Fd,0,WHM - known limit
CVGdm_CA,Fd,0,WHM - known limit
ESSFvc,Fd,0,WHM - known limit
ESSFwmp_MT,Fd,0,WHM - known limit
ESSFxkp_UT,Fd,0,WHM - known limit
GBDxh_NV,Fd,0,WHM - known limit
GBDxx_UT,Fd,0,WHM - known limit
GDBdw_UT,Fd,0,WHM - known limit
MHmm1,Fd,0,WHM - known limit
MSSDun_NV,Fd,0,WHM - known limit
OWun_CA,Fd,0,WHM - known limit
SASbo,Fd,0,WHM - known limit
ESSFxw_OR,Fd,14,Johnson Blue-Ochoco MTns
IGFmm_OR,Fd,25,Johnson Blue-Ochoco MTns
CWHms_OR,Fd,26,Simpson E. Or. Cascades
MSxk_OR,Fd,27,Johnson Blue-Ochoco MTns
IDFxx_WA,Fd,28,Simpson E. Or. Cascades
IWFdw_OR,Fd,30,Simpson E. Or. Cascades
IWFdw_OR,Fd,32,McCain W.OR Cascades
CWHvm_OR,Fd,34,McCain W.OR Cascades
CWHdm_OR,Fd,45,McCain W.OR Cascades
SBSdk,Fd,22.4,lepage offsite
SBSmc2,Fd,23.5,lepage offsite
MHdm_OR,Hm,12,Simpson E. Or. Cascades
CWHms_OR,Hw,22,Simpson E. Or. Cascades
CWHdm_OR,Hw,35,McCain W.OR Cascades
CWHvm_OR,Hw,35,McCain W.OR Cascades
MHmmp,Hw,0,WHM - known limit
CMXxm_CA,Hw,0,WHM - known limit
IDFxx_WA,Jw,16,Simpson E. Or. Cascades
ESSFmc,Lw,0,WHM - known limit
ESSFxw_OR,Lw,21,Johnson Blue-Ochoco MTns
Msxk_OR,Lw,21,Johnson Blue-Ochoco MTns
CWHdm_OR,Lw,24,Simpson E. Or. Cascades
IGFmm_OR,Lw,28,Johnson Blue-Ochoco MTns
SBSdk,Lw,34.5,lepage offsite
ICHwk2,Lw,22,Cariboo experiment
SBSmw,Lw,23,Cariboo experiment
ESSFwk1,Lw,22,Cariboo experiment
BGwm_WA,Lw,0,Cariboo experiment
SBSmc2,Lw,15.7,lepage offsite
BAFAun,Lw,0,WHM - known limit
IMAun,Lw,0,WHM - known limit
CWHvh1,Lw,0,Added to have coastal entry
CWHwm,Lw,0,Added to have coastal entry
CWHdm_OR,Mb,40,Simpson E. Or. Cascades
PPxk_OR,Oa,12,Simpson E. Or. Cascades
IDFxx_WA,Oa,16,Simpson E. Or. Cascades
CWHdm_OR,Oa,21,Simpson E. Or. Cascades
IWFdw_OR,Oa,24,Simpson E. Or. Cascades
BAFAun,Pl,0,WHM - known limit
IMAun,Pl,0,WHM - known limit
MHdm_OR,Pl,12,Simpson E. Or. Cascades
MHRFmm_OR,Pl,12,Simpson E. Or. Cascades
ESSFxw_OR,Pl,14,Johnson Blue-Ochoco MTns
PPxk_OR,Pl,18,Simpson E. Or. Cascades - adjusted 
CWHdm_OR,Pl,15,Simpson E. Or. Cascades
CWHms_OR,Pl,18,Simpson E. Or. Cascades
IWFdw_OR,Pl,19,Simpson E. Or. Cascades
Msxk_OR,Pl,21,Johnson Blue-Ochoco MTns
BGxh3,Pl,0,WHM - known limit
IDFxx2,Pl,0,WHM - known limit
MHRFmm_OR,Ps,16,Simpson E. Or. Cascades
IDFxx_WA,Ps,18,Simpson E. Or. Cascades
CWHdm_OR,Ps,30,Simpson E. Or. Cascades
IWFdw_OR,Ps,30,Simpson E. Or. Cascades
BAFAun,Sx,0,WHM - known limit
IMAun,Sx,0,WHM - known limit
IDFxx2,Sx,0,WHM - known limit
IDFxh_WA,Sx,0,WHM - known limit
BGxh3,Sx,0,WHM - known limit
ESSFdcp,Sx,5,WHM - known limit
ESSFdkp,Sx,5,WHM - known limit
ESSFdvp,Sx,5,WHM - known limit
ESSFmcp,Sx,5,WHM - known limit
ESSFwcp,Sx,5,WHM - known limit
ESSFwvp,Sx,5,WHM - known limit
MHdm_OR,Sx,18,Simpson E. Or. Cascades
ESSFxw_OR,Sx,21,Johnson Blue-Ochoco MTns
Msxk_OR,Sx,21,Johnson Blue-Ochoco MTns
CWHdm_OR,Sx,22,Simpson E. Or. Cascades
IWFdw_OR,Sx,24,Simpson E. Or. Cascades
CWHms_OR,Sx,26,Simpson E. Or. Cascades
ESSFmcp,At,0,WHM - known limit
CWHvh1,At,0,Added to have coastal entry
CWHwm,At,0,Added to have coastal entry
BWBSmw,At,22.4,estimate
IDFdk_WA,At,22.4,estimate
IDFdh_UT,At,22.4,estimate
IDFdx_MT,At,22.4,estimate
