SS_NoSpace,TreeSpp,MeanPlotSiteIndex
BGxh1/04,Py,12
BGxh1/05,Py,15
BGxh1/06,Py,18
BGxh1/07,Py,21
BGxh2/03,Py,12
BGxh2/04,Py,12
BGxh2/07,Py,21
BGxw1/03,Py,12
BGxw1/05,Py,15
BWBSdk/101,At,12
BWBSdk/101,Bl,12
BWBSdk/101,Pl,15
BWBSdk/102,Pl,12
BWBSdk/101,Sw,15
BWBSdk/103,Pl,15
BWBSdk/104,Pl,12
BWBSdk/102,Sw,9
BWBSdk/103,At,12
BWBSdk/110,Pl,15
BWBSdk/103,Sw,15
BWBSdk/104,At,12
BWBSdk/111,Pl,15
BWBSdk/104,Sb,9
BWBSdk/104,Sw,12
BWBSmk/101,Pl,15
BWBSmk/102,Pl,12
BWBSdk/110,Sw,15
BWBSmk/103,Pl,15
BWBSdk/111,Sw,15
BWBSdk/112,Acb,18
BWBSdk/112,Sw,18
BWBSmk/101,At,15
BWBSmk/104a,Pl,12
BWBSmk/104b,Pl,9
BWBSmk/101,Sb,9
BWBSmk/101,Sw,15
BWBSmk/110,Pl,18
BWBSmk/111,Pl,18
BWBSmk/102,Sw,9
BWBSmk/103,At,15
BWBSmw/101,Pl,18
BWBSmw/102,Pl,12
BWBSmk/103,Sw,12
BWBSmw/103,Pl,18
BWBSmw/104,Pl,15
BWBSmk/104a,Sb,9
BWBSmk/104a,Sw,12
BWBSmw/110,Pl,18
BWBSmk/104b,Sb,6
BWBSmk/104b,Sw,9
BWBSmk/110,At,18
BWBSmw/111,Pl,18
BWBSwk1/101,Pl,15
BWBSmk/110,Sw,18
BWBSwk1/102,Pl,12
BWBSwk1/103,Pl,15
BWBSmk/111,Sw,18
BWBSmk/112,Acb,18
BWBSmk/112,Sw,18
BWBSmw/101,At,18
BWBSwk1/104,Pl,12
BWBSmw/101,Sw,21
BWBSmw/102,At,12
BWBSwk1/110,Pl,18
BWBSmw/102,Sw,9
BWBSmw/103,At,15
BWBSmw/103,Sw,18
BWBSmw/104,At,12
BWBSwk2/101,Pl,15
BWBSmw/104,Sb,9
BWBSmw/104,Sw,12
BWBSmw/110,At,18
BWBSwk2/102,Pl,12
BWBSmw/110,Sb,15
BWBSmw/110,Sw,18
BWBSmw/111,Acb,18
BWBSmw/111,At,18
BWBSwk2/103,Pl,15
BWBSmw/111,Sw,18
BWBSmw/112,Acb,21
BWBSmw/112,Sw,18
BWBSwk1/101,At,15
BWBSwk1/101,Sw,15
BWBSwk2/104,Pl,12
BWBSwk1/102,Sw,9
BWBSwk1/103,At,15
BWBSwk2/110,Pl,15
BWBSwk1/103,Sw,15
BWBSwk1/104,Sb,9
BWBSwk1/104,Sw,12
BWBSwk1/110,Acb,15
BWBSwk1/110,At,15
BWBSwk2/111,Pl,15
BWBSwk1/110,Sw,18
BWBSwk1/111,Sb,15
BWBSwk2/101,At,15
BWBSwk3/101,Pl,12
BWBSwk2/101,Sw,15
BWBSwk3/102,Pl,9
BWBSwk2/102,Sw,9
BWBSwk2/103,At,15
BWBSwk2/103,Sw,15
BWBSwk2/104,Sb,9
BWBSwk2/104,Sw,12
BWBSwk2/110,Acb,15
BWBSwk2/110,At,15
BWBSwk3/103,Pl,9
BWBSwk2/110,Sw,15
BWBSwk2/111,At,15
BWBSwk3/110,Pl,12
BWBSwk2/111,Sw,15
CDFmm/01,Pl,20
BWBSwk3/101,Sb,9
BWBSwk3/101,Sw,12
BWBSwk3/102,Sb,9
CDFmm/02,Pl,16
BWBSwk3/103,Sb,9
CDFmm/03,Pl,16
BWBSwk3/110,Sw,12
BWBSwk3/111,Sb,9
CDFmm/01,Bg,20
CDFmm/01,Cw,20
CDFmm/01,Fd,29.6608336
CDFmm/02,Fd,16
CDFmm/10,Pl,16
CDFmm/03,Fd,20
CDFmm/04,Bg,24
CDFmm/04,Cw,24
CDFmm/04,Fd,28
CDFmm/05,Cw,24
CDFmm/05,Fd,24
CDFmm/06,Bg,32
CDFmm/06,Cw,28
CDFmm/06,Fd,32
CDFmm/07,Bg,32
CDFmm/07,Cw,28
CDFmm/07,Fd,32
CDFmm/08,Bg,24
CDFmm/08,Cw,24
CDFmm/10,Cw,8
CWHdm/02,Pl,16
CDFmm/11,Cw,16
CDFmm/12,Bg,28
CDFmm/12,Cw,24
CDFmm/12,Fd,28
CDFmm/13,Bg,28
CDFmm/13,Cw,28
CDFmm/13,Fd,28
CDFmm/14,Bg,20
CDFmm/14,Cw,20
CWHdm/01,Cw,27.58333344
CWHdm/01,Fd,34.06666676
CWHdm/01,Hw,30.33846136
CWHdm/02,Fd,16
CWHdm/03,Cw,20
CWHdm/03,Fd,24
CWHdm/04,Cw,24
CWHdm/04,Fd,28
CWHdm/05,Cw,28
CWHdm/05,Fd,39.75636361
CWHdm/06,Cw,32
CWHdm/06,Fd,36
CWHdm/06,Hw,32
CWHdm/07,Bg,40
CWHdm/07,Cw,30.76363616
CWHdm/07,Fd,40.96444405
CWHdm/07,Hw,33.86272777
CWHdm/08,Bg,40
CWHdm/08,Cw,32
CWHdm/09,Bg,28
CWHdm/09,Cw,28
CWHdm/11,Cw,12
CWHdm/11,Pl,16
CWHdm/12,Cw,20
CWHdm/12,Hw,32
CWHdm/12,Ss,28
CWHdm/13,Bg,36
CWHdm/13,Cw,28
CWHdm/13,Fd,36
CWHdm/14,Bg,28
CWHdm/14,Cw,28
