Species,BGC,MoistureRegime,NutrientRegime,si50,numbersites
Ac,BWBSmk,4,C,33.69,1
Ac,BWBSmw,5,C,15.31,1
Ac,ICHmk3,4,C,25.1,1
Ac,ICHmm,5,D,35.87,1
Ac,ICHmw2,5,,32.95,2
Ac,ICHwk2,4,D,21.03,1
Ac,ICHwk3,5,C,36.01,1
Ac,ICHwk3,5,D,29.33,1
Ac,IDFxh2,5,E,20.63,1
Ac,MSmw1,4,C,32.95,1
Ac,MSmw1,5,D,22.33,1
Ac,SBSdw3,4,C,23.41,2
Ac,SBSdw3,5,D,21.77,1
Ac,SBSmk1,4,D,20.3,1
Ac,SBSmk1,5,D,27.905,2
Ac,SBSmw,4,C,25.1,1
Ac,SBSwk1,5,D,22.335,2
At,BWBSdk,4,D,9.62333333333333,3
At,BWBSdk,5,B,12.11,3
At,BWBSmk,3,B,11.4466666666667,3
At,BWBSmk,3,C,19.4025,4
At,BWBSmk,4,B,10.66,3
At,BWBSmk,4,C,15.2433333333333,3
At,BWBSmk,5,B,10.6733333333333,3
At,BWBSmw,1,B,13.02,1
At,BWBSmw,2,B,13.87,1
At,BWBSmw,3,B,18.53,2
At,BWBSmw,4,B,13.545,2
At,BWBSmw,5,C,18.34,3
At,BWBSwk1,4,D,19.34,1
At,ESSFdk1,3,C,26.19,1
At,ESSFdk1,3,D,24.33,1
At,ESSFdk1,4,C,15.65,1
At,ESSFdk1,5,D,25.8,1
At,ESSFdk2,4,C,23.06,1
At,ESSFmw1,3,C,24.76,2
At,ESSFmw1,4,C,14.84,1
At,ESSFmw1,5,C,21.32,2
At,ESSFwh3,2,C,16.44,1
At,ESSFwh3,4,B,14.69,1
At,ESSFwh3,5,C,16.97,2
At,ESSFwh3,5,D,21.17,1
At,ESSFwm1,3,C,18.75,1
At,ESSFwm3,5,D,21.29,1
At,ICHdm,2,A,10.9866666666667,3
At,ICHdm,2,C,14.34,3
At,ICHdm,3,B,22.0966666666667,3
At,ICHdm,4,B,25.32,3
At,ICHdm,4,C,21.5,3
At,ICHdm,4,D,18.11,3
At,ICHdw1,2,D,19.4566666666667,3
At,ICHdw1,4,B,16.41,1
At,ICHdw1,4,C,20.32,1
At,ICHdw1,4,,23.28,1
At,ICHdw1,5,C,15.47,1
At,ICHmc2,3,D,14.965,2
At,ICHmk1,3,D,25.89,3
At,ICHmk1,4,C,21.2866666666667,3
At,ICHmk1,4,E,22.96,3
At,ICHmk1,5,C,23.125,2
At,ICHmk3,4,C,18.44,1
At,ICHmk4,4,D,19.71,1
At,ICHmm,2,B,25.55,1
At,ICHmm,3,B,23.74,1
At,ICHmm,4,C,24.16,1
At,ICHmm,5,D,23.405,2
At,ICHmw1,6,E,25.5366666666667,3
At,ICHmw3,3,C,17.15,1
At,ICHmw3,4,C,27.41,2
At,ICHmw4,3,B,24.14,1
At,ICHmw4,3,C,21.9933333333333,3
At,ICHmw4,4,B,22.66,1
At,ICHmw4,4,C,19,2
At,ICHmw5,3,C,18.73,1
At,ICHmw5,4,D,23.59,1
At,ICHmw5,5,D,24.37,1
At,ICHwk2,3,C,16.565,2
At,ICHwk2,4,D,23.2,1
At,ICHwk3,3,C,19.38,1
At,ICHwk3,4,C,24.11,1
At,ICHxw,4,B,24.69,2
At,ICHxw,5,D,29.7333333333333,3
At,ICHxw,6,E,31.5866666666667,3
At,IDFdk1,1,C,29.195,2
At,IDFdk1,4,C,27.85,1
At,IDFdk3,5,B,13.4666666666667,3
At,IDFdm1,2,A,14.13,3
At,IDFdm1,2,B,15.9066666666667,3
At,IDFdm1,3,B,18.48,3
At,IDFdm1,5,C,20.88,3
At,IDFdm2,2,C,11.91,1
At,IDFdm2,3,B,21.48,1
At,IDFdm2,3,C,24.22,1
At,IDFxm,3,C,13.01,3
At,IDFxm,3,D,8.41,3
At,IDFxm,4,E,20.2,3
At,IDFxm,5,D,15.8566666666667,3
At,IDFxx2,3,C,25.29,1
At,MSdm1,2,A,12.8933333333333,3
At,MSdm1,5,C,22.7833333333333,3
At,MSdm1,5,D,19.57,2
At,MSdm1,6,D,20.6266666666667,3
At,MSdm2,2,C,21.155,2
